id,txt,GRNB,FUND,IND,UNI,COR,MISC
16808299,"The principal investigators and co-investigators were: Indiana University, Indianapolis, IN (R01 MH59545), J. Nurnberger, M.D., Ph.D., M. J. Miller, M.D., E. S. Bowman, M.D., N. L. Rau, M.D., P. R. Moe, M.D., N. Samavedy, M.D., R. El-Mallakh, M.D. (at University of Louisville), H. Manji, M.D., D.A. Glitz, M.D. (at Wayne State University), E. T. Meyer, M.S., C. Smiley, R.N., T. Foroud, Ph.D., L. Flury, M.S., D. M. Dick, Ph.D. and H. Edenberg, Ph.D.; Washington University, St Louis, MO (R01 MH059534), J. Rice, Ph.D., T. Reich, M.D., A. Goate, Ph.D. and L. Bierut, M.D.; Johns Hopkins University, Baltimore, MD (R01 MH59533), M. McInnis M.D., J. R. DePaulo Jr, M.D., D. F. MacKinnon, M.D., F. M. Mondimore, M.D., J. B. Potash, M.D., P. P. Zandi, Ph.D., D. Avramopoulos, Ph.D. and J. Payne, M.D.; University of Pennsylvania, PA (R01 MH59553), W. Berrettini, M.D., Ph.D.; University of California at Irvine, CA (R01 MH60068), W. Byerley M.D. and M. Vawter M.D.; University of Iowa, IA (R01 MH059548), W. Coryell M.D. and R. Crowe M.D.; University of Chicago, IL (R01 MH59535), E. Gershon, M.D., J. Badner Ph.D., F. McMahon M.D., C. Liu Ph.D., A. Sanders M.D., M. Caserta, S. Dinwiddie M.D., T. Nguyen and D. Harakal; University of California at San Diego, CA (R01 MH59567), J. Kelsoe, M.D. and R. McKinney, B.A.; Rush University, IL (R01 MH059556), W. Scheftner M.D., H. M. Kravitz, D.O., M.P.H., D. Marta, B.S., A. Vaughn-Brown, M.S.N., R.N. and L. Bederow, M.A.; NIMH Intramural Research Program, Bethesda, MD (1Z01MH002810-01), F. McMahon, M.D., L. Kassem, Psy.D., S. Detera-Wadleigh, Ph.D., L. Austin, Ph.D. and D. L. Murphy, M.D.; GenRED Consortium: Data and biomaterials were collected in six projects that participated in the NIMH Genetics of Recurrent Early-Onset Depression (GenRED) project.",1Z01MH002810-01,NIMH Intramural Research Program,J. Nurnberger;T. Reich;A. Goate;J. Rice;J. R. DePaulo Jr;E. Gershon;M. J. Miller;E. S. Bowman;N. L. Rau;P. R. Moe;M.D.;N. Samavedy;R. El-Mallakh;H. Manji;D.A. Glitz;E. T. Meyer;C. Smiley;R.N.;T. Foroud;L. Flury;D. M. Dick;H. Edenberg;L. Bierut;M. McInnis M.D.;D. F. MacKinnon;F. M. Mondimore;J. B. Potash;P. P. Zandi;D. Avramopoulos;J. Payne;W. Berrettini;W. Byerley M.D.;Vawter M.D.;W. Coryell M.D.;Crowe M.D.;J. Badner Ph.D.;F. McMahon M.D.;C. Liu Ph.D.;A. Sanders M.D.;M. Caserta;S. Dinwiddie M.D.;T. Nguyen;D. Harakal;J. Kelsoe;R. McKinney;W. Scheftner M.D.;H. M. Kravitz;D. Marta;A. Vaughn-Brown;F. McMahon;L. Kassem;Psy.D.;S. Detera-Wadleigh;L. Austin;L. Murphy,"Indiana University, Indianapolis;Washington University, St Louis;Johns Hopkins University, Baltimore;University of Louisville;Wayne State University; University of Pennsylvania, PA;University of California at Irvine;University of Iowa, IA;University of Chicago;University of California at San Diego;Rush University, IL",,GenRED
8568203,"The authors are indebted to the American Association of Medical Colleges and Marc A. Nivet, chief diversity officer at the time, for facilitating access to the data used in this study.",,,Marc A. Nivet,American Association of Medical Colleges,,
9907121,"The research leading to these results has received funding from the European Community's Seventh Framework Programme (FP7/2007-2013) under grant agreement no. 287678 and the Academy of Finland (projects 135003 LASTU programme, 1128204, 1218259, 121252, 256961).",1218259;121252;287678;1128204;256961,European Community's Seventh Framework Programme (FP7/2007-2013),,Academy of Finland,,LASTU
16497072,"This work was supported by the Department of Mathematics and Statistics at the University of Turku and The Finnish Cultural Foundation, Varsinais-Suomi Regional Fund (SR) and the University of Turku and National Institutes of Health (NIH) National Cancer Institute.",,National Institutes of Health (NIH) National Cancer Institute;The Finnish Cultural Foundation;Varsinais-Suomi Regional Fund (SR),,Department of Mathematics and Statistics;University of Turku ,,
12799339,The support is under the research grant DIPA Universitas Riau of The year 2017 Contract Number 818/UN.19.5.1.3/PP/2017.,818/UN.19.5.1.3/PP/2017,,,DIPA Universitas Riau,,
13248007,"The article was created as a result of the solution of the internal grant project No. 8110IGS201818 ""Creating professional studies as a tool for innovation and development of pedagogical activities"" at the The Institute of Technology and Business in Ceske Budejovice, Czech Republic.",8110IGS201818,,,"Institute of Technology and Business in Ceske Budejovice, Czech Republic",,
10310347,"The study was approved by the Institutional Review Board at the University of California, Berkeley.",,,,"Institutional Review Board;University of California, Berkeley",,
2122615,"Laura Ponce de Leon, PhD, is associate professor of social work, National University of Distance Education (UNED), Obispo Trejo 2, 028, Madrid 28040, Spain; e-mail: lponce@der.uned.es.",,,Laura Ponce de Leon,National University of Distance Education (UNED);UNED,,
12794640,"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This project was funded by NSF SBE award 1148586 and was graciously supported by a five-month resident fellowship at the Institut Mediterraneen de Recherches Avancees (IMeRA) in Marseille.",1148586,NSF SBE,,Institut Mediterraneen de Recherches Avancees (IMeRA) in Marseille,,
13397708,"John H. Krystal's participation was supported by the VA National Center for PTSD, the National Institute on Alcohol Abuse and Alcoholism (P50 AA012870), and the National Center for Advancing Translational Sciences via its support for the Yale Center for Clinical Investigation (UL1 RR024139).",P50 AA012870;UL1 RR024139,National Institute on Alcohol Abuse and Alcoholism;VA National Center for PTSD;National Center for Advancing Translational Sciences,John H. Krystal,Yale Center for Clinical Investigation,,
6963226,"The work reported here was supported by ESRC/EPSRC grant RES-062-23-2075, and by an ESRC PhD studentship awarded to the School of Psychology, Bangor University.",RES-062-23-2075,ESRC/EPSRC,,"School of Psychology, Bangor University",,
8903047,This work was done under the project number (CL/SQU-UAEU/16/05) which was funded from the joint research project in Sultan Qaboos University in Oman.,CL/SQU-UAEU/16/05,,,Sultan Qaboos University in Oman,,
1929731,Support for presentations at conferences was provided by this grant and also by Texas Tech University.,,,,Texas Tech University,,
8900341,This research was supported by the National Institutes of Health (1R15HD071935-01) and the Vermont Genetics Network (via NIH INBRE1 P20 RR16462).,NIH INBRE1 P20 RR16462;1R15HD071935-01,National Institutes of Health,,Vermont Genetics Network,,
10391365,M. A. Rodriguez is partially funded by Fondecyt-Conicyt grant number 1170497 and by the Millennium Institute for Foundational Research on Data.,1170497,Fondecyt-Conicyt,M. A. Rodriguez,Millennium Institute for Foundational Research on Data,,
16133099,"This projects are co funded by European Social Fund through The Sectorial Operational Programme for Human Resources Development 2007-2013, coordinated by The Bucharest Academy of Economic Studies",,European Social Fund;Sectorial Operational Programme for Human Resources Development 2007-2013,,The Bucharest Academy of Economic Studies,,
9024816,This work was partially supported by a General University Research Fund (UD) and NSF BCS grant #1632849.,1632849,NSF BCS,,General University Research Fund (UD),,
14533804,"The authors are also very grateful to Prof. William D. Henshaw at the Department of Mathematical Sciences, Rensselaer Polytechnic Institute, for his help regarding the Overture library, and hyperbolic grid generation for ship hulls.",,,William D. Henshaw,"Department of Mathematical Sciences, Rensselaer Polytechnic Institute",,
5900579,This is contribution No. IS-2580 from GIGCAS.,,,,GIGCAS,,
2291225,James Strong of Hull University provided additional advice and comments.,,,James Strong,Hull University,,
2642115,"Michele Conforti and Marco Di Summa were supported by the grant ""Progetto di Ateneo 2013"" of the University of Padova.",,,Michele Conforti;Marco Di Summa,University of Padova,,Progetto di Ateneo 2013
5545493,S.T. was supported by a doctoral fellowship from the Technical University of Denmark.,,,,Technical University of Denmark,,
1748801,We thank K. W. Conway (Texas A&M University) for reviewing the manuscript.,,,W. Conway,Texas A&M University,,
5812282,This study is part of a M.Sc. thesis by D. Pinho at the University of Porto.,,,D. Pinho,University of Porto,,
1348446,"This research is part of LS's doctoral research, for which she received funding from the Natural Sciences and Engineering Research Council of Canada (PGSD3- 374164) and a teaching assistantship from the Biology Department at the Universidad del Valle.",PGSD3- 374164,Natural Sciences and Engineering Research Council of Canada,,Universidad del Valle;Biology Department,,
17164546,This work was supported by the National Science Foundation under cooperative agreement #0937591 to the Center for Nano technology and Society at Arizona State University and the National Science Foundation Graduate Fellowship to Thomas Woodson.,0937591,National Science Foundation;National Science Foundation Graduate Fellowship,Thomas Woodson,Center for Nano technology and Society at Arizona State University ,,
3120658,Supported by the Science and Technology Innovation Team of Mariculture of Zhejiang Province (No. 2010R50025) and the K.C. Wong Magna Fund in Ningbo University,2010R50025,Science and Technology Innovation Team of Mariculture of Zhejiang Province,,Wong Magna Fund in Ningbo University,,
8845546,We wish to gratefully acknowledge the Biological Mass Spectrometry Core Research Facility at the University of Manchester for access to their facilities.,,,,Biological Mass Spectrometry Core Research Facility at the University of Manchester,,
7918786,The authors gratefully acknowledge that the present research is supported by Universitas Sumatera Utara.,,,,Universitas Sumatera Utara,,
4923698,"This study was supported by JSPS KAKENHI (#15H02603, PI: Masatoshi Koizumi), a Grant-in-Aid for JSPS Research Fellows (#13J04854, PI: Masataka Yano) and Kyushu University Wakaba Project (#30203, PI: Masataka Yano).",15H02603;30203,JSPS KAKENHI;Grant-in-Aid for JSPS Research Fellows,,Kyushu University Wakaba Project,,
3565754,"This work was supported in part by Polish-Norwegian Financial Mechanism Small Gram Scheme under the contract no. Pol-Nor/209260/108/2015 as well as by OS Funds of ETI Faculty, Gdansk University of Technology.",Pol-Nor/209260/108/2015,Polish-Norwegian Financial Mechanism Small Gram Scheme,,OS Funds of ETI Faculty;Gdansk University of Technology,,
13704926,"We acknowledge financial aid from the Spanish Ministry of Economy, Industry and Competitiveness and FEDER (projects ECO2017-85451-R and ECO2014-53904-R) and from Universidad de La Rioja (ATUR17/34, ATUR 16/25 and ATUR15/25).",ECO2017-85451-R;ATUR15/25;ATUR17/34;ECO2014-53904-R;ATUR 16/25,"FEDER;Spanish Ministry of Economy, Industry and Competitiveness",,Universidad de La Rioja,,
17442274,"This research is fully supported by GUP grant Q.J130000.2623.12J93, Universiti Teknologi Malaysia.",Q.J130000.2623.12J93,,,Universiti Teknologi Malaysia;GUP grant,,
9974343,"This work was supported in part by the National Key Research and Development Plan under Grant 2016YFB0502202, in part by NSFC Projects under Grant 61571105, Grant 61501109, Grant 61601119, and Grant 61601120, and in part by the Scientific Research Foundation of Graduate School, Southeast University under Grant YBJJ1655.",61601119;YBJJ1655;61571105;61601120;2016YFB0502202;61501109,NSFC;National Key Research and Development Plan,,Scientific Research Foundation of Graduate School;Southeast University,,
11896245,Yinghui Zhang is supported by New Star Team of Xi'an University of Posts and Telecommunications (No. 201602).,201602,,Yinghui Zhang,New Star Team of Xi'an University of Posts and Telecommunications,,
5251593,This work was supported by a German Research Foundation grant (AS 427/1-1) and a Kwantlen Polytechnic University Humanities and Social Sciences grant awarded to the first author.,AS 427/1-1,German Research Foundation,,Kwantlen Polytechnic University Humanities and Social Sciences,,
9394196,The authors would like to thank the EPSRC for its financial support through Lancaster University's Impact Acceleration Account (Grant Reference EP/K50421X/1).,EP/K50421X/1,EPSRC,,Lancaster University's Impact Acceleration Account,,
6819920,"The authors thank the IU Ecoaqua of the University of Las Palmas de Gran Canaria (ULPGC), for supporting this project.",,,,University of Las Palmas de Gran Canaria (ULPGC),,IU Ecoaqua
8775134,This research was funded by The Hong Kong Polytechnic University (Grant No.: G-YBP8).,G-YBP8,,,Hong Kong Polytechnic University,,
