FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
Global Dynamics of Extortion Racket Systems,2.0,2014 History and Economics Conference,1.0,,,,,Matthew Nicholls,2
SOW,2.0,FPU Scholarship Program,1.0,,,,,Ellen Goddard,2
Campus for Research Excellence and Technological Enterprise (CREATE) program,2.0,XXXVII Symposium of Economic Analysis (Vigo 2012,1.0,,,,,Barbara Hanel,2
Health Research Board Grant,2.0,"Project ""Genomics and Evolutionary Biology",1.0,,,,,Jeff Colin,2
"The Department of Health Research in Region Zealand, Denmark",2.0,Canada Research Chair in Citizenship and Governance Speaker Series,1.0,,,,,Dan Malone,2
E.S.Shaw SIEPR,2.0,INSEAD alumni fund,1.0,,,,,Elizabeth Kassab,2
Comcare,2.0,Applied Vision Association Christmas,1.0,,,,,R. Rose,2
South African Social Attitudes Survey (SASAS),2.0,SAFER the Vehicle and Traffic Safety Center,1.0,,,,,Hans-Theo Normann,2
Direccion General de Trafico (Spanish Ministry of Interior),2.0,2015 World Economic History Congress,1.0,,,,,Zhiyuan Cheng,2
"Templeton World Charity Foundation, Religion among Scientists in International Context Study",2.0,"Project 8A, Analysis of Naturalistic Driving Study Data: Safer Glances",1.0,,,,,Rob Peralta,2
State Bank of Pakistan,2.0,Training Plan of 100 Young Academic Leaders,1.0,,,,,Suraja Raj,2
European ERC Grant Agreement,2.0,EHA meeting in Nashville,1.0,,,,,Austin Nichols,2
UPV/EHU,2.0,TEBLE,1.0,,,,,Joshua Brisson,2
Health Research Council Maori Doctoral Scholarship,2.0,Influencing Factors and Promoting Strategies,1.0,,,,,Frank Yu,2
South African Medical Research Council (SAMRC),2.0,Primary Education,1.0,,,,,Kristin Andree,2
Rwandan Biomedical Center,2.0,Collaborative Research Centre,1.0,,,,,Marcelo C. Medeiros,2
ISCIII - General Branch Evaluation and Promotion of Health Research,2.0,"Regional Office, Santiago",1.0,,,,,Efe Ok,2
NHTSA(USA),2.0,RISKDYNAMICS,1.0,,,,,Ruth Lopez Turley,2
Scottish Government Contract,2.0,Frontier Research in Economic and Social History,1.0,,,,,Edward Ludlow,2
NIH/NCI-funded Center for Infection Research in Cancer,2.0,ISDS,1.0,,,,,Julia Seiermann,2
Tier 2 Academic Research Fund (AcRF),2.0,Australian Languages Workshop in Canberra,1.0,,,,,Margo Stich,2
Turkish Academy of Sciences,2.0,"Research Institute of Economy, Trade and Industry at the Ministry of Economy, Trade, and Industry of Japan",1.0,,,,,L. Dahl,2
"Ministero dell'Istruzione, dell'Universitaa e della Ricerca",2.0,Kitchen Seminar Group,1.0,,,,,Maryam Fatemi,2
Larson Endowment for Innovative Research,2.0,Community Health Workers,1.0,,,,,Masayuki Sawada,2
Netherlands Organization for International Cooperation (Nuffic),2.0,Partners & Caregivers Study,1.0,,,,,Tourangeau,2
Research Training Group in Mathematical Biology,2.0,Juan de la Cierva fellowship,1.0,,,,,Kevin Stewart,2
"Networks of Centres of Excellence, Canada",2.0,Social Media Data Stewardship,1.0,,,,,Jean-Pierre Benoit,2
Einar Lundstrom Foundation,2.0,Modelling and Estimation of Volatility in Energy Markets,1.0,,,,,Gerhard Overland,2
Humanities and Social Sciences (NOS-HS),2.0,"12th International Conference on Urban History Cities in Europe, Cities in the World",1.0,,,,,Bill Greene,2
Mitacs Accelerate Internship,2.0,School Health Research Network,1.0,,,,,Matt Sutton,2
Australasian Cochrane Centre,2.0,Historical Economics and the Economics of Religion Workshop 2015,1.0,,,,,Richard Layard,2
Northwest Patient and Public Involvement (PPI) Bursary,2.0,Design of Pervasive Games Based on Learning Experiences Sensitive to Context,1.0,,,,,William James Hall,2
EPSRC Doctoral Training Centre,2.0,Living in Asian Borderlands: An Appreciation of Resources',1.0,,,,,Diane Thornton,2
Kakiuchi Yoshinobu Memorial Award,2.0,Ecocycles,1.0,,,,,Rolland Munro,2
Susan Thompson Buffett Foundation,2.0,Cycling Promotion Fund,1.0,,,,,Puneet Dwivedi,2
European Union),2.0,Calderdale District Archives,1.0,,,,,Sonia Baez,2
National Institute of Alcohol Abuse and Alcoholism NIAAA,2.0,A Pilot Study to Explore Response Strategies and the Family/Work Dynamics of Married Migrant Workers in China,1.0,,,,,Daniel Kressner,2
Banque Centrale du Luxembourg),2.0,Canadian Disability Participation Project,1.0,,,,,Katharina Rowold-for,2
PhD Start-up Fund of Natural Science Foundation of Guangdong Province,2.0,Yale Economic History Lunch,1.0,,,,,Debrah Meloso,2
Kelly Foundation,2.0,Logical Models of Reasoning with Vague Information (LoMoReVI),1.0,,,,,Angie Lippman,2
Archives Centre,2.0,IPES 2016,1.0,,,,,Lapo Filistrucchi,2
Swedish-Norwegian foundation for Equine Research,2.0,7th International Conference at Finance UC (2016,1.0,,,,,Laura Mann,2
Association for the Promotion of Humanities and Sciences,2.0,2015 meeting of the International Sociological Association in Milan,1.0,,,,,Joanna Radin,2
Italian Ministry of Justice,2.0,Newton International Fellow,1.0,,,,,Cynthia Osborne,2
IFT,2.0,"Ideas of Arctic Exceptionality? Historical Understandings of the Spaces, Cultures and Environments of the Circumpolar North",1.0,,,,,Hannah Reich,2
National Institute of Drug Abuse (NIDA) of the National Institutes of Health,2.0,Financial Innovation: Lessons for Policy and Theory,1.0,,,,,Don Priest,2
Natural Environment Research Council grant Space Weather Impacts on Ground-based Systems (SWIGS),2.0,Democracy Fund,1.0,,,,,Kyla Thomas,2
"Danish Breast Cancer Cooperative Group (DBCG), Rigshospitalet, Denmark",2.0,2nd University of Vaasa Banking Research Workshop,1.0,,,,,Kathryn Pinzarrone,2
U.S. Department of State Bureau of Conflict and Stabilization Operations (CSO),2.0,UK arm,1.0,,,,,Udayan Rathore,2
National Institute for Health Research Collaboration for Leadership in Applied Health Research and Care East of England,2.0,4th International Conference on European Studies (ICES'13),1.0,,,,,Ching-Ling Cheng,2
Brazilian Council for Scientific and Technological Development (CNPq),2.0,NIESR,1.0,,,,,Tomas Rodriguez-Barraquer,2
Council on Aging in St. Tammany,2.0,Association for Public Economic Theory,1.0,,,,,Alexandra Supper,2
Major Program of Key Research Center in Financial Risk Management of Jiangsu Universities Philosophy Social Sciences,2.0,Economic Analysis of Intergenerational Issues: Searching for Further Development,1.0,,,,,Christopher Chambers,2
"Korean Ministry of Trade, Industry, and Energy (MOTIE)",2.0,"Mirror neurons, intersubjectivity and intellectual humility",1.0,,,,,Marco Casari,2
Scientific Research Fund of Hunan Provincial Education Department of China,2.0,EURAGE Research Team,1.0,,,,,Yossef Ben-Porath,2
"UNDP/UNFPA/WHO/World Bank Special Programme on Research, Development, and Research Training iIn Human Reproduction",2.0,Medicaid 1115 Waiver,1.0,,,,,Todd Shepard,2
Intemational Foundation for Research in Experimental Economics,2.0,Drammen,1.0,,,,,Pasky Pascual,2
Strategic Organization Design (SOD) unit,2.0,LABILE,1.0,,,,,Anna Amberg,2
Jane B. Aaron National Association of Social Workers Foundation,2.0,project Poverty among Youth: International Lessons for the UK,1.0,,,,,Georgie Anderson,2
Australian Football League Players Association,2.0,ASSA Meetings (2013,1.0,,,,,Scott Potter,2
Innovates Population Health Investigator Award,2.0,Economic History Society 2013 meeting in York,1.0,,,,,Elena Marra,2
"Social Media and Prediction: Crime Sensing, Data Integration and Statistical Modeling",2.0,"2014 NSF ADVANCE Program Workshop in Alexandria, VA",1.0,,,,,Milan Kubiatko,2
Spanish Agency of International Cooperation (AECID),2.0,World and Exeter Gulf Studies,1.0,,,,,K. McGonagle,2
Partners for Resilience (PfR),2.0,Medical Physiology,1.0,,,,,Y. Jiang,2
Alberta Health and Wellness,2.0,2014 Economic History Society Annual Conference,1.0,,,,,Rebecca Renwick,2
Council on Social Work Education (CSWE),2.0,British Rorschach Forum,1.0,,,,,Matt Frise,2
NICTA,2.0,China Academic Translation Projects,1.0,,,,,Marie Hodkinson,2
NIMH-funded Adolescent/Young Adult Biobehavioral HIV Training Grant,2.0,5th Financial Market and Corporate Governance Conference,1.0,,,,,R. Jenkins,2
Wissenschaftszentrum Berlin (WZB),2.0,"Social Finance, Impact Investing, and the Financialization of the Public Interest",1.0,,,,,Ahoua Kone,2
Swiss Secretariat for Economic Affairs,2.0,2015 Pacific APA Meeting,1.0,,,,,Nicholas Flores,2
DG Research oft the European Union,2.0,croises sur la production et l'usage des statistiques,1.0,,,,,Catherine M. Jones',2
TUNDRA Nordic Centres of Excellence,2.0,39th annual conference in Toronto,1.0,,,,,Ofer Amram,2
Koninklijk Instituut for Taal,2.0,What Have We Learned from the Soviet Archives?',1.0,,,,,Kouassivi A. Sofonnou,2
Comparative Welfare Entitlements Dataset (CWED),2.0,San Francisco Planning Department,1.0,,,,,Marta Moratti,2
UTHealth Innovation for Cancer Prevention Research Training Program (Cancer Prevention and Research Institute of Texas,2.0,11th Sound Economic History Workshop,1.0,,,,,Oliver Crisp,2
Indian Institute of Health Management Research,2.0,Lean Sigma,1.0,,,,,Berenike Waubert de Puiseau,2
EuniceKennedy Shriver National Institute of Child Health andHumanDevelopment (NICHD) of the National Institutes of Health,2.0,2017 Society for Research in Child Development Biennial Meeting,1.0,,,,,Jennifer Hook,2
Canada Research Chair Programme,2.0,William Ladany fellowship,1.0,,,,,Hugo Letiche,2
Danish Ministry of Justice's Research Funds,2.0,2014 Multinational Finance Society Annual Conference,1.0,,,,,Annette Jensen,2
National Academy of Public Administration,2.0,6th International Accounting & Finance Doctoral Symposium,1.0,,,,,Ranjan Shrestha,2
Advance Research Centre,2.0,Knowledge Management Team,1.0,,,,,Brian Earp,2
National Cancer Institute KO7 Career Development Award,2.0,Program on Intergroup Relations,1.0,,,,,Sai Zhang,2
Shaanxi Department of Science and Technology,2.0,New Initiatives Program,1.0,,,,,Chantal De Keersmaecker,2
WorkCover NSW WorkCover Assist Program,2.0,"Graduate Student Association, Benevolent Association",1.0,,,,,Jon Gruber,2
Anglicare Victoria,2.0,Avon Longitudinal Study of Parents and Children,1.0,,,,,Elize Massard da Fonseca,2
Canadian Institutes of Health Research (CIHR) Training Program,2.0,"Reputation and Resilience in Emerging Markets at the Business History Conference, Baltimore",1.0,,,,,Budhi Surya,2
Liikesivistysrahasto,2.0,Initiative and Networking Fund of the Helmholtz Association,1.0,,,,,Jeffrey Darko,2
Vienna Research Group Grant,2.0,Almirall,1.0,,,,,Stephanie Nairn,2
IMK foundation,2.0,SWHR,1.0,,,,,Alice Brooke Wilson,2
"National Science Council, Ministry of Science and Technology (MOST), Taiwan",2.0,Enhancement Grant for Professional Development,1.0,,,,,Tonn Talpsepp,2
European Commission INCO V Program,2.0,GMCS,1.0,,,,,Ole Andreas Engen,2
South Australian Department of Health),2.0,Spaces of experience,1.0,,,,,Stephen Royle,2
U.S. Department of Health and Human Services-National Institutes of Health,2.0,Studying GDP Regional Imbalances,1.0,,,,,Mansour Pourmehdi,2
"National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health",2.0,IDB-INTAL (December 2014,1.0,,,,,Chernozhukov,2
Bob Shapell School of Social Work,2.0,"Social Security, Taxation, and Public Finance",1.0,,,,,Krishna Pendakur,2
The Lemelson Foundation,2.0,FedEx St. Jude Classic,1.0,,,,,James Witter,2
Family & Community Liaison,2.0,Nova SBE lunchtime seminar,1.0,,,,,F. Terral,2
Brazilian Agency FAPESP,2.0,Doctorate in Clinical Psychology,1.0,,,,,Laura Mauldin,2
National Board of Medical Examiners,2.0,Second Annual Cybercrime Conference,1.0,,,,,Eugenio Proto,2
Victorian Life Sciences Computation Initiative (VLSCI),2.0,Leo-Spitzer-Prize for Junior Researchers,1.0,,,,,Jeremy Dixon,2
National Institute Of Mental Health of the National Institutes of Health,2.0,Diabetes Literacy,1.0,,,,,Roger Owen,2
Netherlands' Organisation for Scientific Research,2.0,New Narratives in Philosophy: Rediscovering Neglected Works by Early Modern Women,1.0,,,,,Eleanor Cooper,2
Community Foundation of Flint,2.0,the-Center for Discovery,1.0,,,,,Roschan Khan,2
German bioeconomy council,2.0,World is Not Enough (WINE): Harvesting Local Resources for Eternal Exploration of Space,1.0,,,,,Martin Kryl,2
Cowles Foundation Conference 2014,2.0,EPICS,1.0,,,,,Kevin Shih,2
Sackler Scholar Programme in Psychobiology,2.0,NCCIH,1.0,,,,,Kristoffer Moeller,2
Canadian Dairy Commission,2.0,Building Interdisciplinary Research Careers in Women's Health Program-BIRCWH,1.0,,,,,Andy Delton,2
U.S. Department of Health & Human Services (HHS),2.0,"Sport, Exercise and Rehabilitation Research Focus Area",1.0,,,,,Uriel Felsen,2
Public Engagement Seed Fund,2.0,Queen Elizabeth II Fellowship,1.0,,,,,Erin Andrew,2
NSF REG,2.0,Riksbankens Jubileumsfond,1.0,,,,,Linh Vu,2
Applied Rural Science and Clinical Pharmacy Training Program,2.0,Reference Group,1.0,,,,,Frederick Wherry,2
National Neighborhood Crime Study,2.0,Parliaments and Prosperity. The Impact of State Capacity on Economic Growth in pre-1800 Europe,1.0,,,,,Fondazione Alazio,2
"Ministry of Education, Science, Sports, and Culture of Japan",2.0,Dementia & Neuropsychologia,1.0,,,,,Eric S. Schoenberg,2
"National Science Foundation's Directorate for Social, Behavioral, and Economic Sciences",2.0,"46th Annual Behavior Genetics Meeting, Brisbane, Australia",1.0,,,,,John Tasioulas,2
Guasoni,2.0,Banff Centre,1.0,,,,,Ming-shang Hu,2
Government Pharmaceutical Organization,2.0,Understanding the Home Office Disturbances Papers,1.0,,,,,Sarah Wetter,2
Irish Research Council New Foundations Scheme 2016,2.0,UPSTATE,1.0,,,,,Wenceslau Teixeira,2
FHI 360,2.0,KidSIM-ASPIRE Simulation Research Program at Alberta Children's Hospital,1.0,,,,,Adina Preda,2
Fresno Department of Social Work Education,2.0,"European Accounting Association Annual Meeting (Ljubljana, Slovenia",1.0,,,,,Rachael Meager,2
Marie Curie Intra-European Fellowship (IEF),2.0,Wine globalization,1.0,,,,,Brian Pedersen,2
"Society for the Psychological Study of Lesbian, Gay, Bisexual, and Transgender Issues) Malyon-Smith Scholarship Award",2.0,IRAKLITOS II,1.0,,,,,Aviezri Fraenkel,2
Canadian Institutes of Health Research (CIHR) Institute of Gender and Health (IGH),2.0,ANR-09-VTT-ATLAS,1.0,,,,,Kristen O'Brien,2
American Time Use Survey Data Extract Builder,2.0,"2017 Annual Convention of the Canadian Pain Society, Halifax, Nova Scotia",1.0,,,,,Horst Sterr,2
Hungarian Scientific Research Fund (OTKA),2.0,Huygens-ING,1.0,,,,,Katharina Demin,2
"National Science Foundation, Social Science Research Council",2.0,UCI Memory and Development Lab,1.0,,,,,Megan Gilligan,2
NIH NIMH RO1 Grant,2.0,BC Dairy Association,1.0,,,,,Maxwell Stinchcombe,2
AARP Foundation,2.0,Kenya Agricultural and Livestock Research Organization,1.0,,,,,Marcela Koscianczuk,2
KLAS,2.0,Blue Mountains,1.0,,,,,Malcolm Moseley,2
MIUR PRIN,2.0,Canada Research Chair in Physical Activity and Mental Health and GF,1.0,,,,,Sandra Garces,2
Centro de Investigacao em Educacao e Psicologia - CIEP.UE,2.0,LysTech,1.0,,,,,Daniela Osterrieder,2
European Research Council Marie Curie Reintegration Grant,2.0,"Sixth Iberian Cliometrics Workshop (Zaragoza, 2013",1.0,,,,,Vinh Phuc,2
"National Science Foundation, Division of Mathematical Sciences",2.0,The Muslim Diaspora in the Era of the Slave Route,1.0,,,,,Miguel Morin,2
Advanced Cardiac Transplant Center and Mechanical Circulatory Support Programs,2.0,Creative Teaching Fund,1.0,,,,,Sten-Ake Stenberg,2
U.S. Department of Health and Human Services (ACYF/DHE-(5,2.0,LED,1.0,,,,,Patrick Bresnihan Leila Dawney,2
Utah Agricultural Experiment Station,2.0,VET Registry,1.0,,,,,Alejandro de la Fuente,2
Zimmerman Foundation for the study of Banking and Finance,2.0,2010 Social Science History Association Conference,1.0,,,,,Harro van Lente,2
"Ministry of Education, Science, Sports and Culture, Grant-in-Aid for Young Scientists",2.0,SBIRC,1.0,,,,,Hyman P. Minsky,2
Research Fund Flanders (Belgium),2.0,Cattolica Milan,1.0,,,,,Andreas Grunewald,2
"National Research Centre for the Working Environment, Denmark",2.0,Cancer Stem Cell Consortium,1.0,,,,,Tomas del Barrio Castro,2
Teaching Innovation Program of the Office of the Provost,2.0,"Society for Medical Anthropology Conference ""Encounters and Engagements,"" Tarragona, Spain",1.0,,,,,Jeffrey Waid,2
Council on Social Work Education Policy Practice in Field Education Grant,2.0,NOR,1.0,,,,,Matt Egan,2
European Union's Fundamental Rights and Citizenship programme,2.0,project SAFIRE (Scientific Approach to Finding Indicators of and REsponses to radicalization,1.0,,,,,Barbara Green,2
Ministry of Labour and Social Affairs of the Czech Republic,2.0,Itasca,1.0,,,,,JUSTIN GLASGOW,2
UK's Economic and Social Research Council (ESRC) and Engineering and Physical Sciences Research Council (EPSRC),2.0,Provost's Summer Research award,1.0,,,,,Adrienne Hampton,2
"Ministry for Science, Research and Culture of the State of Brandenburg (MWFK)",2.0,UNC Private Equity Conference,1.0,,,,,Abigail DeKosnik,2
"The Swedish Research Council for Health, Work and Welfare",2.0,Caring and Aging with Pride (CAP),1.0,,,,,Steije Hofhuis,2
"Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPq-Brazil, BPPesq)",2.0,CIiSAP,1.0,,,,,Ilma Qureshi,2
Italian National Election Studies (ITANES),2.0,United Kingdom's Arts and Humanities Research Council Video Games Research Networking Scheme,1.0,,,,,Aydogan Ulker,2
Children's Research Initiative,2.0,Child and Adolescent Health Measurement Initiative,1.0,,,,,Mauricio Gallardo,2
National Institute for Child Health and Development (NICHD),2.0,ISCHE,1.0,,,,,Anca Maria Podpiera,2
Moro Islamic Liberation Front,2.0,"Religions, Rights and Institutions",1.0,,,,,Jianging Fan,2
1980s Serbia and Montenegro,2.0,2015 International Association of Business and Society,1.0,,,,,Mariana Traipe,2
Brazilian National Department of Sexually Transmitted Diseases/HIV/AIDS and Viral Hepatitis-Ministry of Health,2.0,2012 Returned Overseas Chinese Scholars,1.0,,,,,Sharon MacDonald,2
National Farmers' Union Cymru,2.0,New Paths to Purpose,1.0,,,,,Greg Szekeres,2
Africa Future Foundation in Korea,2.0,Ontario Graduate Scholarship grant,1.0,,,,,Jeremy Uecker,2
New South Wales Trustee,2.0,Post-Doctoral Research Fellowship,1.0,,,,,Le-Yu Chen,2
Substance Abuse and Mental Health Services Administration of the U.S. Department of Health and Human Services,2.0,22nd International Congress on Social and Environmental Accounting Research in Saint Andrews,1.0,,,,,John Schemitsch,2
Neighbourhoods and Communities Programme,2.0,Rochester Youth Development Study,1.0,,,,,Jonathan Kandodo,2
consortium MME-DII,2.0,Quality Management,1.0,,,,,Joe Sullivan,2
Independent Research Fund Denmark - Social Sciences,2.0,ICARUS (Information and Communication Applications: Research on User-oriented Solutions) Project,1.0,,,,,Sonia Parella,2
"FPU scholarship of the Ministry of Education, Culture and Sport",2.0,Economic History Society of Southern Africa,1.0,,,,,Theresa Gutberlet,2
Human Sciences,2.0,Fifth Iberian Cliometrics Workshop 2011,1.0,,,,,Mauricio Gomez Diaz,2
Australian Department of Foreign Affairs and Trade,2.0,100th National Communication Association Convention,1.0,,,,,Lee Lam,2
Yale Center for Interdisciplinary Research on AIDS (CIRA,2.0,Poverty and welfare,1.0,,,,,Felix Sorour,2
Cannon Collins Educational and Legal Assistance Trust,2.0,Seminario Permanente de Historia e Instituciones Economicas,1.0,,,,,Ashton M. Verdery,2
"Cowell Foundation, Partnership Illinois",2.0,International Neuropsychological Society in Seattle,1.0,,,,,James Choi,2
Health Technology Assessment,2.0,MADD Canada,1.0,,,,,David A. Sweetser,2
"Research Council of Norway's Welfare, Working Life and Migration (VAM) programme",2.0,Housing-Urban-Labor-Macro (HULM),1.0,,,,,Richard Schulz,2
IMI European Prevention of Alzheimer's Dementia project,2.0,Internet Use and Well-being of Taiwan Students: Longitudinal Analysis and the Extension of Fact Bank,1.0,,,,,Stefano Sacchi,2
BUPA Foundation,2.0,Second World Urbanity,1.0,,,,,Jaroslaw P. Piotrowski,2
"Hunan Ministry of Science and Technology, Changsha, Hunan, China",2.0,Foothills Medical Centre,1.0,,,,,Steve Wilson,2
March of Dimes,2.0,ANVIL,1.0,,,,,Samuel Lings,2
APA Division 27,2.0,Community Advisory Committee,1.0,,,,,Gustavo Manzo,2
Greta och Johan Kock Foundation,2.0,Depression Alliance,1.0,,,,,Zoe Dettrick,2
Strategic Skills pre-doctoral Fellowship,2.0,EAW,1.0,,,,,Zhongbo Jing,2
Xarxa de Referencia d'R+D+I en Economia i Politiques Paliques,2.0,Teo,1.0,,,,,Joy Amulya,2
Hong Kong Institute of Asia-Pacific Studies,2.0,ForEAdapt,1.0,,,,,Andrew Zammit-Mangion,2
Research Center for Science and Technology Policies (TEKPOL),2.0,KNOWandPOL consortium,1.0,,,,,Hidefumi Hitokoto,2
Reinventing Labour Law Enforcement: A Socio-Legal Analysis,2.0,IGA FF UP,1.0,,,,,Maria del Carmen Boado-Penal,2
Industrial Cooperative Award in Science & Technology (iCASE) studentship,2.0,Kentucky FARS,1.0,,,,,Mark Riley,2
"O.P. Competitiveness and Entrepreneurship, NSRF 2007-2013",2.0,Carlos Chagas Filho Research Foundation of the State of Rio de Janeiro,1.0,,,,,Jing Cai,2
JJJ Smieszek Fellowship,2.0,Improving Subnational Population Forecasts',1.0,,,,,Laura Paule,2
Research for Policy & Society,2.0,"Progetto di Ateneo"")",1.0,,,,,Torsten H. Voigt,2
German Institute for Employment Research,2.0,disability studies' perspective on dementia,1.0,,,,,Steven Giles,2
JMG,2.0,ESA 2015 in Heidelberg,1.0,,,,,Xiao-Ru Cheng,2
USAID Global Development Lab,2.0,Graduate Scholarship (PGS-D),1.0,,,,,Julie Wilson,2
Canadian Foundation for AIDS Research (CANFAR agency,2.0,VIII Braga Meetings on Ethics and Political Philosophy,1.0,,,,,Stiftelsen Majblomman.,2
ECO-CEP,2.0,01 Expert Systems,1.0,,,,,Mark Coen,2
"Army Environmental Quality and Installations Research Program, Military Materials in the Environment",2.0,Adults and their Parents,1.0,,,,,Kyriakos Chousakos,2
Knowledge for Climate (KfC),2.0,University Research Chair in Knowledge Translation to Patients,1.0,,,,,Pontus Strimling,2
CREATES-Center for Research in Econometric Analysis of Time Series,2.0,Society for Business Ethics' Annual Meeting in San Antonio,1.0,,,,,Evlyn Samuel,2
Netherlands' Organization for Scientific Research,2.0,"Social Developments in Post-Socialistic Societies: Discontinuity, Tradition, Structural Formation",1.0,,,,,Ozan Aksoy,2
Research Development Fund (RDF),2.0,Systems Biology programme,1.0,,,,,Rosaria Lenox,2
NHMRC Career,2.0,2012 WFA,1.0,,,,,Aris Filos Ratsikas,2
Brazilian National Institute for Science and Technology-Climate Change,2.0,Commissioned Partnership Programme,1.0,,,,,Sue Lampitt,2
Youth Care Foundation Saint Joseph,2.0,Indigenous PhD fellowship programs,1.0,,,,,Paola Bohorquez,2
FAPEMIG (Fundacao de Amparo a Pesquisa do Estado de Minas Gerais),2.0,8th International Symposium on Human Capital and Labor Markets,1.0,,,,,Lance Bennett,2
The Robert Wood Johnson Foundation,2.0,ISCTE-IUL,1.0,,,,,Thomas Moutos,2
Federal German Pension Insurance,2.0,18th General Meeting,1.0,,,,,Firuzeh Shookoh Valle,2
Banco Santander de Madrid Chair of excellence,2.0,"Rural History Conference, Bern, Switzerland",1.0,,,,,Holger Mueller,2
HPTN network,2.0,MHEST,1.0,,,,,Daniel Navon,2
Project Fondecyt,2.0,Higher Seminar in Economic History (Goteborg September 2017,1.0,,,,,David Teurtrie,2
Center for Intercultural and Indigenous Research - CIIR,2.0,Sample 2,1.0,,,,,Liu and Zitikis,2
Telephone Survey Funding Scheme of the Department of Asian and Policy Studies,2.0,COCON,1.0,,,,,Adam Hahn,2
Centers for Disease Control and Prevention (CDC,2.0,Aim for the Stars' Grant 2018,1.0,,,,,Kendall Choate,2
European Union's Horizon 2020 Research and Innovation Staff Exchange program under the Marie Sklodowska-Curie,2.0,Publication Assistance Scholarship (February-April 2015,1.0,,,,,Melissa Kang,2
Icelandic Centre for Research,2.0,Canadian Cancer Society Career Development Award in Prevention,1.0,,,,,Junhan Kim,2
NIH/FIC,2.0,Economic Diversification and Homogenization In Tourism Cities: The Case Of Antalya,1.0,,,,,Yossi Tako,2
Cape Hatteras National Seashore,2.0,HumeLAB,1.0,,,,,Jessica Garrick,2
dell'Universita e della Ricerca,2.0,Syntens Innovation Centre,1.0,,,,,J. Bolafios,2
Air Force of Scientific Research (AFOSR),2.0,University of British Columbia Winter Finance Conference,1.0,,,,,Elisabeth Winkler,2
Alberta Cancer Foundation Roche Fellowship in Translational Research,2.0,Cambridge Group for the History of Population and Social Structure seminar series 2014,1.0,,,,,Johannes Bauer,2
Mexican Children of Immigrants Program Project,2.0,New Investigator Awards,1.0,,,,,Josef Molnar,2
South African National Department of Environment Affairs,2.0,iCog 2 (2014): Perspectives on Learning,1.0,,,,,Christopher Jencks,2
CUR,2.0,Clinical Sequencing Exploratory Research program,1.0,,,,,Sue Mendus,2
Advance Support Program for Integration of Research Excellence (ASPIRE) II,2.0,Seeing Colors' symposium in Regensburg,1.0,,,,,Jerker Denrell,2
Canadian Social Science and Humanities Research Council (SSHRC),2.0,MTM 2010-14992 Interactive Multiobjective Programming,1.0,,,,,Kristin Seefeldt,2
Programme Council for Educational Research of the Netherlands' Organisation for Scientific Research,2.0,STEPS Study,1.0,,,,,Jean Tillie,2
Center for Interdisciplinary research (ZiF),2.0,2015 AEA/FPUG Meeting,1.0,,,,,Werner M. Wolf,2
ESRC Postdoctoral Fellowship,2.0,Colby Personality Lab,1.0,,,,,Christopher Hood,2
Autonomous Government of Aragon (Consolidated Research Group S13,2.0,Successful Pathways from School to Work,1.0,,,,,Steven Gregorich,2
McNair Scholars Program,2.0,Moon Shots Program,1.0,,,,,Ivaylo Vlaev,2
National Center for Advancing Translational Sciences/National Institutes of Health,2.0,Young Guest,1.0,,,,,Sander Steijn,2
National Institutes of Minority Health Disparities,2.0,International Workshop on The Role of Business in Society,1.0,,,,,Bryant Chen,2
Office of Behavioral Social Sciences and Research,2.0,History of the Emergence of the Modern Dairy Industry,1.0,,,,,Brian Galle,2
Exploring Civil Society Strategies for Democratic Renewal,2.0,Tracing the institutional roots of economic development,1.0,,,,,Leah Platt Boustan,2
Barrow Cadbury U.K. Trust,2.0,Universities' China Committee in London,1.0,,,,,Nie tylko,2
Youth Tourism Expert Training,2.0,Career Award for Medical Scientists,1.0,,,,,Rebecca Budimu,2
Laboratory of Excellence on Financial Regulation (Labex ReFi),2.0,Reform of the Personal Income Tax under the Perspective of Behavioral Economics,1.0,,,,,David Yaffe,2
Simon Fellowship award,2.0,PUCRio,1.0,,,,,Vidhan Goyal,2
Dutch Technology Foundation,2.0,Western Australia Memory Study,1.0,,,,,Julia Faltermeier,2
European Doctorate in Economics Erasmus Mundus (2012-2015),2.0,Union Army,1.0,,,,,Tom Stapleford,2
Commonwealth of Independent States,2.0,"Ethnography of a Divided City. Space, Poverty and Gender in Maputo, Mozambique",1.0,,,,,Christina Ehrmann,2
Shanghai Nature Science Foundation,2.0,Engelhart,1.0,,,,,R. Metulini,2
New South Wales Department of Disability Ageing and Home Care,2.0,Diamond Grant,1.0,,,,,John Boettcher,2
Institut des sciencesmathematiques (ISM),2.0,Rackham Spring/Summer Research Grant,1.0,,,,,Patrick Gaule,2
"Transport Accident Commission, (TAC) Victoria, Australia",2.0,Coffee Club,1.0,,,,,Dirk Sliwka,2
Norwegian Ministry of Transport and Communications,2.0,Careum Fellowship,1.0,,,,,Andy Renison,2
Indonesian Ministry of Finance,2.0,Applied Epidemiology Fellowship Program,1.0,,,,,Don Philippon,2
AFA insurances,2.0,Equality and Public Policy Conference,1.0,,,,,Elisiv Bakketeig,2
