index,id,txt,GRNB,FUND,IND,UNI,COR,MISC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73,699987,This work was partly funded by the Russian Science Foundation (grant 17-18-01326) and the Russian Foundation for Basic Research (grant 13-07-13165).,17-18-01326;13-07-13165,Russian Science Foundation;Russian Foundation for Basic Research,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"74,733637,""This research was reported as part of an Honours thesis by DC, who was supported by an Australian Postgraduate Award during preparation of the manuscript."",,Australian Postgraduate Award,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75,733637,The research was supported by grants from the Australian Research Council (DP120104925) and the National Health and Medical Research Council (APP1031688) to RR.,DP120104925;APP1031688,National Health and Medical Research Council;Australian Research Council,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76,733637,KB is a National Health and Medical Research Council Peter Doherty Early Career Fellow (APP1054642).,APP1054642,National Health and Medical Research Council; National Health and Medical Research Council Peter Doherty Early Career Fellow,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77,744853,Y. M. Chee was supported by the Singapore Ministry of Education under Grant MOE2015-T2-2-086.,MOE2015-T2-2-086,Singapore Ministry of Education,Y. M. Chee,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78,744853,H. M. Kiah was supported in part by the Singapore Ministry of Education under Grant MOE2015-T2-2-086 and in part by the Singapore Ministry of Education under Grant MOE2016-T1-001-156.,MOE2016-T1-001-156;MOE2015-T2-2-086,Singapore Ministry of Education,H. M. Kiah,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79,744853,A. Vardy was supported by the National Science Foundation under Grants CCF-1405119 and CCF-1719139.,CCF-1719139;CCF-1405119,National Science Foundation,A. Vardy,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80,744853,E. Yaakobi was supported by the Israel Science Foundation under Grant 1624/14.,1624/14,Israel Science Foundation,E. Yaakobi,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"81,758359,""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research is part of project 451-13-002 funded by the Netherlands Organisation for Scientific Research."",451-13-002,Netherlands Organisation for Scientific Research,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"82,767204,""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported for the research by the German Research Foundation (DFG)."",,German Research Foundation (DFG),,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83,767204,WI 2024/5-4 and ME 3538/4-1.,ME 3538/4-1;WI 2024/5-4,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"84,769607,""This work was supported in part by the Huawei Innovation Research Program (HIRP)";" in part by the NSFC under Grant 61373143, Grant 61432009, and Grant 61872213."",61872213";61373143;61432009,NSFC,,,Huawei Innovation Research Program (HIRP),;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85,769971,We thank Na Shao for helpful suggestions and Lei Zhou for data collection.,,,Na Shao;Lei Zhou,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"86,769971,""This research was supported by the National Natural Science Foundation of China [grant number 31170974], [grant number 31170975]"; Fundamental Research Funds for the Central Universities [grant number 2014QN013];" Beijing Sport University."",31170975";2014QN013;31170974,National Natural Science Foundation of China;Fundamental Research Funds for the Central Universities,,Beijing Sport University,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"87,786840,""This paper was funded by the Croatian Science Foundation through the project """"Family Economic Hardship, Psycho-social Issues and Educational Outcomes of Adolescents in Times of Economic Crisis"""" [IP-2014-09-8546]."",IP-2014-09-8546,Croatian Science Foundation,,,,""Family Economic Hardship, Psycho-social Issues and Educational Outcomes of Adolescents in Times of Economic Crisis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88,802588,This research was supported in part by Award Number W81XWH-12-1-0490 from the United States Department of Defence (DoD) office of the Congressionally Directed Medical Research Programs (CDMRP).,W81XWH-12-1-0490,United States Department of Defence (DoD) ,,,,Congressionally Directed Medical Research Programs (CDMRP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89,819220,This work was supported by Australian Research Council grants DP140100952 and FT0990767 to Alex O. Holcombe and by a grant from the John Templeton Foundation (New Agendas for the Study of Time: Connecting the Disciplines).,FT0990767;DP140100952,Australian Research Council;John Templeton Foundation,Alex O. Holcombe,,,New Agendas for the Study of Time: Connecting the Disciplines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90,819220,The pilot experiment mentioned in the Method section of Experiment 1 was reported at the 2014 Experimental Psychology Conference of Australasia.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"91,819220,""An early version of this article was posted at PsyArxiv. org, https://osf.io/ah8vz/."",,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92,819220,Teresa Schubert and Max Coltheart provided helpful input regarding the literature on letter processing.,,,Teresa Schubert;Max Coltheart,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"93,819220,""Kim Ransley, Brad Wyble, Chris Bush, and Sachiko Kinoshita also provided valuable advice."",,,Kim Ransley";Brad Wyble;Chris Bush;Sachiko Kinoshita,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"94,832399,""The authors would like to thank the Co-Editor, the Associate Editor and two referees for their constructive comments and suggestions on earlier versions of this paper, and especially for one of the referees for his/her comments and suggestions on some technical aspects."",,,Co-Editor";Associate Editor,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95,832399,The second author would like to specially thank Han Hong for various constructive discussions about this topic.,,,Han Hong,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"96,832399,""Acknowledgements also go to several seminar and conference participants, particularly to Rong Chen, Jianqing Fan, David Frazier, Robert Kohn, Lung-Fei Lee, Oliver Linton, Gael Martin, Adrian Pagan, Anastasios Panagiotelis, Scott Sisson, Yundong Tu, Aman Ullah and Xibin Zhang, on the earlier versions of this paper."",,,Rong Chen";Jianqing Fan;David Frazier;Robert Kohn;Lung-Fei Lee;Oliver Linton;Gael Martin;Adrian Pagan;Anastasios Panagiotelis;Scott Sisson;Yundong Tu;Aman Ullah;Xibin Zhang,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97,832399,The first and the second authors would also like to acknowledge financial support by the Australian Research Council Discovery Grants Program under Grant Numbers: DP150101012 & DP170104421.,DP150101012;DP170104421,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"98,834058,""A*MIDEX GEOMED project, Grant/Award Number: no ANR-11-IDEX-0001-02";" Institut Universitaire de France, project CLIMSORIENT MISTRALS (Mediterranean Integrated Studies at Regional and Local Scales) ENVI-Med 2012, program GEO-ISRAEL"",ANR-11-IDEX-0001-02,A*MIDEX GEOMED"; CLIMSORIENT MISTRALS (Mediterranean Integrated Studies at Regional and Local Scales) ENVI-Med 2012;GEO-ISRAEL,,Institut Universitaire de France,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"99,840403,""This work was supported in part by the National Basic Research Program of China (973 Program) under Grant 2013CB328805, in part by the National Natural Science Foundation of China under Grant 61272359, in part by the Fok Ying-Tong Education Foundation for Young Teachers, and in part by the Specialized Fund for Joint Building Program of Beijing Municipal Education Commission."",61272359";2013CB328805,National Natural Science Foundation of China;National Basic Research Program of China;Fok Ying-Tong Education Foundation for Young Teachers; Specialized Fund for Joint Building Program of Beijing Municipal Education Commission,,,,973 Program;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100,840403,The associate editor coordinating the review of this manuscript and approving it for publication was Prof. Peter Tay.,,,Peter Tay,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101,840735,This work was supported by the Israel Science Foundation (Grant No. 217/16 to DJ and IM).,217/16,Israel Science Foundation,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"102,853268,""This work is supported by Program of Natural Science Foundation of China (61132004, 61275073, 61420106011) and Shanghai Science and Technology Development Funds (15511105400, 15530500600, 16511104100)."",61275073";61420106011;16511104100;15511105400;61132004;15530500600,Natural Science Foundation of China;Shanghai Science and Technology Development Funds,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103,854037,We thank Miroslaw Kowaluk and anonymous reviewers of the preliminary version of this paper for valuable comments.,,,Miroslaw Kowaluk,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104,854037,This research has been supported in part by Swedish Research Council Grant 621-2011-6179.,621-2011-6179,Swedish Research Council,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"105,895002,""This work was supported by Scientific Plan Projects from China Modern Agricultural Industry Technology System (The Control of Parasites Infection on Marine Fish, CARS-47-18) and Special Science Projects for Fish Diseases Control from The Oceanic and Fishery Administration of Guangdong Province (2014, 2016) to Pro. Anxing Li."",CARS-47-18,The Oceanic and Fishery Administration of Guangdong Province,Anxing Li,,,Special Science Projects for Fish Diseases Control";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"106,898939,""This study was supported by the National Research Foundation of Korea (NRF) Grant funded by the Korea government (MEST 2012R1A2A4A01008836) and by the Brain Research Program through National Research Foundation of Korea funded by the Ministry of Science, ICT & Future Planning (NRF-2013M3C7A1056734 and NRF-2015M3C7A1031395)."",MEST 2012R1A2A4A01008836";NRF-2015M3C7A1031395;NRF-2013M3C7A1056734,National Research Foundation of Korea (NRF);National Research Foundation of Korea;Ministry of Science,,,,Brain Research Program;ICT & Future Planning ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107,908432,The authors are grateful for the comments of Inge van der Vlies and Bill Fearnow.,,,Inge van der Vlies;Bill Fearnow,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108,908432,Funding was provided by Guangdong Planning Office of Philosophy and Social Science (Grant No. GD16CFX0) and also Hong Kong Special Administrative Region Basic Law Committee (Standing Committee of NPC) (Grant No. JBF2014/10).,JBF2014/10;GD16CFX0,Hong Kong Special Administrative Region Basic Law Committee (Standing Committee of NPC);Guangdong Planning Office of Philosophy and Social Science,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109,921680,This research was funded by the Research Council of Norway [grant number 224885/E40].,224885/E40,Research Council of Norway,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110,927605,This publication is made possible by the Singapore National Research Foundation Grant No. R-279-000-425-592 under its Campus for Research Excellence And Technological Enterprise (CREATE) programme.,R-279-000-425-592,Singapore National Research Foundation ,,,,Campus for Research Excellence And Technological Enterprise (CREATE) programme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111,931769,This research was undertaken at the Centre for Health Economics as part of a three-month placement for an MSc in Health Economics.,,Centre for Health Economics,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112,931769,Part of this research was funded by the National Institute for Health Services & Delivery Research programme (project no: 10/1011/22).,10/1011/22,National Institute for Health Services & Delivery Research,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"113,931769,""The views and opinions expressed therein are those of the authors and do not necessarily reflect those of the HS&DR programme, NIHR, NHS or the Department of Health."",,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"114,960767,""This paper is an output of the science project of the government task of Ministry of education and science of the Russian Federation # 26.3546.2017/PCH """"Development fundamentals of analysis and prediction of structural and dynamic parameters of the regional economy are based on the integration of the Russian and world experience of management of territorial development and modern scientific doctrines""""."",26.3546.2017/PCH,Ministry of education and science of the Russian Federation,,,,Development fundamentals of analysis and prediction of structural and dynamic parameters of the regional economy are based on the integration of the Russian and world experience of management of territorial development and modern scientific doctrines";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"115,963586,""JRM acknowledges support from the project HAR2016-76814-C2-1-P AEI/FEDER, UE, Spanish Ministry of Economy and Competitiveness."",HAR2016-76814-C2-1-P AEI/FEDER,Spanish Ministry of Economy and Competitiveness,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116,963586,LJDF and MG have received funding from the European Union's Horizon 2020 Research and Innovation Programme under grant agreement no 689669 (MAGIC).,689669,European Union's Horizon 2020 Research and Innovation Programme,,,,MAGIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"117,963586,""The Institute of Environmental Science and Technology (ICTA) has received financial support from the Spanish Ministry of Economy and Competitiveness through the """"Maria de Maeztu"""" program for Units of Excellence (MDM-2015-0552)."",MDM-2015-0552,Spanish Ministry of Economy and Competitiveness";Institute of Environmental Science and Technology (ICTA);Units of Excellence,,,,Maria de Maeztu;Units of Excellence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118,963586,This work reflects the authors' view only; the funding agencies are not responsible for any use that may be made of the information it contains.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"119,973353,""This work has been funded by the Research Council of Norway's ELSA program, Grant No 220609/O70."",220609/O70,Research Council of Norway's ,,,,ELSA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"120,973353,""We are grateful for all the discussions we have had with our good colleagues Morten Walloe Tvedt and Nico Groenendijk in the Patent Ethics project, and we appreciate the useful feedback we received in the publication process."",,,Morten Walloe Tvedt";Nico Groenendijk,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"121,980773,""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: The authors appreciate the financial support from the National Center on Minority Health and Health Disparities (grant MD002748)."",MD002748,National Center on Minority Health and Health Disparities,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122,986003,This work was supported by National Science Foundation-IOS-1339282 with initial support from the Penn State Huck Institutes of the Life Sciences and Human Frontiers in Science Program grant RGP0002/2009-C to PCB and SMA.,RGP0002/2009-C;IOS-1339282,National Science Foundation,,Penn State Huck Institutes of the Life Sciences and Human Frontiers in Science Program,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123,1021559,This research was supported by the National University of Singapore Academic Research Fund (R-581-000-065-112).,R-581-000-065-112,,,National University of Singapore Academic Research Fund,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124,1021559,We thank all participants and research assistants for their contribution to this study.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"125,1033615,""This work is partially supported by Grant-in-Aid for Scientific Research 17H00762, 16H02870, 16H01743 and 15K12102 from the Ministry of Education, Culture, Sports, Science and Technology, Japan."",16H02870";17H00762;15K12102;"16H01743,""Ministry of Education, Culture, Sports, Science and Technology, Japan"",,,,Grant-in-Aid for Scientific Research";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"126,1041869,""The work has been supported in part by National Natural Science Foundation of China under contract number 61373030, 71171132 and 61663046"; Yunnan Applied Fundamental Research Project under the Grant No. 2016FB104; Yunnan Provincial Young academic and technical leaders reserve talents under the Grant No. 2017HB005;" Yunnan Provincial Science Research Project of the Department of Education under the Grant No. 2018JS008."",61373030";2018JS008;2016FB104;71171132;61663046;2017HB005,National Natural Science Foundation of China;Yunnan Provincial Science Research Project of the Department of Education;Yunnan Applied Fundamental Research Project;Yunnan Provincial Young academic and technical leaders reserve talents,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
