MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
Anthropometry and Health of the Economic History Association Meeting,1.0,,,,,Fullbright Visiting Scholar Program,2.0,Brian Earp,2
Leo-Spitzer-Prize for Junior Researchers,1.0,,,,,Spencer Foundation/National Academy of Education Dissertation Fellowship,2.0,Robert Henry Cox,2
Coventry Primary Care Research,1.0,,,,,EU-ERASMUS+ program,2.0,Bruno Lopes,2
2016 Groningen Collaboration for Innovation Conference,1.0,,,,,Junior/Senior Research Fellowship,2.0,Oliver Wilhelm,2
Rodney L. White Center,1.0,,,,,Science The Earth,2.0,Jannelle Lau,2
Werk&Mantelzorg,1.0,,,,,Canadian Institutes of Health Research (CIHR)-funded Research Chair in Applied Public Health,2.0,Marcela Vizcarra,2
Special Grant for Research 2014,1.0,,,,,Fonds de Dotation Pierre Berge,2.0,Luisa Michelotti,2
PowerGIM,1.0,,,,,National Science Foundation Dissertation Improvement Grant in Law & Society,2.0,Lesley Schneider,2
Balancing Self and Body,1.0,,,,,SFARI,2.0,Carl Lagoze,2
Urban Infrastructure and Civic Identities,1.0,,,,,Purdue Research Foundation's Research Grant,2.0,A. Hawes,2
WebLEC,1.0,,,,,Reserve Bank of Australia (RBA),2.0,Hillary Walker,2
Postdoctoral Ontario Women's Health Scholars Award,1.0,,,,,Praktikertjanst,2.0,Francisco Luis Lima,2
2016 Southwestern Finance Association,1.0,,,,,"Training Program in Substance Use, HIV, and Related Infections",2.0,Julie Pagis,2
FRS-FNRS,1.0,,,,,National Institute for Health Research (NIHR) Research for Patient Benefit Programme (RfPB) South Central,2.0,Robert Attenborough,2
BrainChild,1.0,,,,,PreVAiL Research Network,2.0,Karl Pillemer,2
Moral Emotions and Risk Politics conference,1.0,,,,,Cluster of Excellence MATH,2.0,Todd Shepard,2
KidSIM-ASPIRE Simulation Research Program at Alberta Children's Hospital,1.0,,,,,NIHR Clinical Trials Fellowship,2.0,Doug Downey,2
Research Foundation of the State of Sao Paulo (FAPESP),1.0,,,,,Public Health Agency of Canada-CIHR Chair in Applied Public Health,2.0,Robert Ford,2
ISCHE for 2017,1.0,,,,,Center for Construction Research and Training,2.0,Mark Meiss,2
American Auditory Society in Scottsdale,1.0,,,,,Victorian Responsible Gambling Foundation Competitive Grants Scheme,2.0,Ariela Herzog,2
CREW,1.0,,,,,Kidney Health NZ,2.0,Fulvio Pegoraro,2
Historical Economics and Development Group (HEDG),1.0,,,,,ESRC Network for Integrated Behavioural Science(NIBS),2.0,Caroline Lowe,2
Fifth Iberian Cliometrics Workshop 2011,1.0,,,,,Health Foundation Co-creating Health,2.0,J. Huang,2
40th Annual Conference of the Social Science History Association in Baltimore,1.0,,,,,CIRM-Marseille,2.0,Bernice A. Pescosolido,2
DGI,1.0,,,,,"Centre de Gestion Scientifique of the Ecole des Mines ParisTech, Paris (France)",2.0,Siv Oltedal,2
LANGACROSS,1.0,,,,,Hep C Society,2.0,Carolina Caetano,2
PRVOUK,1.0,,,,,Gyllenstiernska Krapperup Foundation,2.0,Angeletos,2
First Annual Conference of the Spanish Agricultural History Society (SEHA),1.0,,,,,Research Centre for Cancer Diagnosis in Primary Care,2.0,Akito Matsumoto,2
Evidence-based Argumentation for Disciplinary Learning,1.0,,,,,CUPESSE,2.0,Esteban Petruzello,2
"16th Conference on Romance Linguistics, of the Linguistics Seminars of the University Ca' Foscari (Venice)",1.0,,,,,Arab Community Center for Economic and Social Services (ACCESS),2.0,Olympia Bover,2
"2016 Annual Meeting of the Society for Personality and Social Psychology (SPSP) in San Diego, California",1.0,,,,,Marie Stopes TimorLeste (MSTL),2.0,Greg Millan,2
Feeding' Respect. Food Policies and Minority Claims in Multicultural Societies,1.0,,,,,MRC Clinical Trials Unit Hub for Trials Methodology Research,2.0,David Haig,2
Global Outreach Mentored Scholarship,1.0,,,,,"The Swedish Research Council for Health, Work and Welfare",2.0,E.G.J. Luttmer,2
Introductory Biology course,1.0,,,,,FAPA-Uniandes,2.0,Claire Decoteau,2
project Forests and Greenroofs - Ecosystem services,1.0,,,,,Interprofessional Education Initiatives Fund,2.0,Julia Kamischke,2
PhASRec,1.0,,,,,Medical Research Council (Unit Programme,2.0,Silje B. Fekjaer,2
"Economic History Association Annual Meeting, Boulder, CO",1.0,,,,,PMC,2.0,Kenneth D. Croes,2
New approaches to the social dynamics of long-term fertility change,1.0,,,,,FP7 European Commission FP7 Marie Sklodowska-Curie Research Fellowship Programme,2.0,Michael Dineen,2
speciality in Physical Education,1.0,,,,,Ministerio de Educacion y Ciencia project,2.0,Saggurti Niranjan,2
Iowa Agricultural Experiment Station,1.0,,,,,Children's Society,2.0,Audrey Laporte,2
Hochwasser 2013,1.0,,,,,"Canadian Institutes of Health Research (CIHR) Chair in Gender, Work and Health Human Resources",2.0,Gillian Raab,2
UCLA Economic History Proseminar,1.0,,,,,Toyota Canada Foundation,2.0,Castro Martinez,2
Urbanisation et recompositions territoriales autochtones au Quebec,1.0,,,,,"Johnson & Johnson Family of Companies, Australia",2.0,Judy Cohen,2
Cora Barclay Centre,1.0,,,,,Police Academy,2.0,James Walter,2
Association for Behavior Analysis International annual meeting,1.0,,,,,Marianna Fisher Fellowship,2.0,Tim Hollowood,2
Hoover Institution Workshop on Totalitarian Regimes,1.0,,,,,Nunatsiavut Government (NG),2.0,Kevin O'Regan,2
Clinical Fellowship,1.0,,,,,Skane Region County Council,2.0,Verity Clarke,2
Energy Project team,1.0,,,,,Norden Top-level Research Initiative,2.0,Brittany Bye,2
2014 APHES conference in Lisbon,1.0,,,,,Social Simulation Conference (SSC),2.0,Stefan Vogenauer,2
MoHE,1.0,,,,,Pieter van Foreest Stichting,2.0,David Chavis,2
SatMDT,1.0,,,,,Chippewa Ottawa Resource Authority (CORA),2.0,David M. Barnes,2
Horizon 2020 Framework Programme,1.0,,,,,Severo Ochoa program,2.0,Renee Breznay,2
Retoricas de la naturaleza y turismo de base local,1.0,,,,,National Supercomputer Centre in Sweden,2.0,P. Adebayo,2
Ethics of Poverty Alleviation Conference,1.0,,,,,Swedish Sports Confederation,2.0,Sarah Dimitriadis,2
"Western Economic Association International Annual Meetings, 2015",1.0,,,,,Wellcome Trust (U.K.),2.0,Evert van Leeuwen,2
"Resilience, Collapse and Reorganisation in Social-Ecological Systems of African savannahs'",1.0,,,,,National Institutes of Health (NIH)/National Institute of Allergy and Infectious Disease (NIAID),2.0,Joan Youngman,2
Food and the city,1.0,,,,,Key Laboratory of Behavioral Science,2.0,Serkan Kaptan,2
Faculty Scholars Program,1.0,,,,,"Consortium on Law and Values in Health, Environment, and Life Sciences",2.0,Wim van der Linden,2
ViLA 2012,1.0,,,,,"Comision Nacional de Investigacion Cientifica y Tecnologica, Chile (FONDECYT INICIACION 11150652",2.0,E. Obasi,2
Sport Sciences for the Promotion of Active Life,1.0,,,,,TCU Research and Creative Activities Fund,2.0,Christa Craven,2
"The Experiences and Pedagogical Beliefs, Perspectives and Practices of Students",1.0,,,,,Coalition Internationale Sida,2.0,Geoffrey T. Fong,2
Population Health - Hunter New England Local Health District,1.0,,,,,"Programa de Excelencia en Educacion e Investigacion"" of the Bank of Spain",2.0,Rockinger,2
2007 Symposium on E-Business and E-Commerce in China,1.0,,,,,Latino Center of the Midlands,2.0,Christiane Demeulenaere-Douyere,2
SSHA meeting in Toronto,1.0,,,,,Mutua de Andalucia y de Ceuta-Cesma,2.0,Caroline Kuo,2
Global Economy,1.0,,,,,CSI Health),2.0,Laszlo Maracz,2
TILEC-GovReg Workshop,1.0,,,,,Strategic Training Program in Global Health Research,2.0,Molly Rappaport,2
MINDWALKER,1.0,,,,,rue de Bercy 75012 Paris,2.0,Kyriell Noon,2
2017 Canadian Anthropology Society (CASCA),1.0,,,,,Lerici Foundation,2.0,Cobb Scott,2
NITC,1.0,,,,,Develop Innovative Methods and Metrics for Agriculture and Nutrition Actions (IMMANA Grants,2.0,Sarosh Kuruvilla,2
APAE DE SAO PAULO,1.0,,,,,"Chaire en actuariat de l'Universite Laval (Cossette, Marceau",2.0,Panos Protopapas,2
Marking the Decade of Centenaries,1.0,,,,,Great Ormond Street Hospital NHS Foundation Trust,2.0,Rablen,2
Svenska historikermotet 2017,1.0,,,,,City and County of Honolulu,2.0,John Logan,2
"Intelligence Leaders in the Europe, the Middle East, and Asia",1.0,,,,,Clinical and Molecular Epidemiology(now NTSR) and Biostatistics and Bioinformatics Shared Resources at Lombardi Comprehensive Cancer Center,2.0,Giardina,2
Implicit Interpersonal Communication,1.0,,,,,Research Council UK's Life Long Health and Wellbeing Programme,2.0,Sekyu,2
"Wages, economic performance and inequality. Scandinavia",1.0,,,,,Energy Information Administration,2.0,Hotton,2
"Philosophy of Education Society of Great Britain Gregynog Conference 2016, Wales UK",1.0,,,,,"U.S. Environmental Protection Agency, Office of Research and Development",2.0,Paolo Palladino,2
2014 CA Day,1.0,,,,,Health Services and Resource Administration Maternal & Child Health Epidemiology Doctoral Training Program,2.0,Elizabeth A. Worthey,2
Economic History Review and Intelligence and National Security,1.0,,,,,"Youth Foundation for Development of Philosophy and Social Science of Guangzhou, China",2.0,Eugenia Pyntikova,2
Normative contestation in Europe: Implications for the EU,1.0,,,,,Philosophy and Social Sciences Research of Higher Learning Institutions of Shanxi (PSSR),2.0,Ruxanda Berlinschi,2
Psychonomics Society,1.0,,,,,Comic Relief (UK),2.0,G. F.,2
European Association for Banking History Conference,1.0,,,,,Climate KIC,2.0,Faraday Davies,2
Apeldoorn,1.0,,,,,Deutsche Forschungsgemeinschaft Grant,2.0,Damian Kozbur,2
ETHOS,1.0,,,,,MOE Tier 1,2.0,Daniel Andersson,2
Temple,1.0,,,,,American Philosophical Society Franklin Research Grant,2.0,David Stern,2
MDPH,1.0,,,,,Government,2.0,Alexandra Tingas,2
NOW,1.0,,,,,RBC Insurance,2.0,Brian Eschbacher,2
Trinity Laban's Dance Science team,1.0,,,,,Latham Fund,2.0,Melisa Bintoro,2
Game-Theoretic Approaches in Political Science,1.0,,,,,NIH-NHGRI,2.0,Paul Widdop,2
Charles Gide Association,1.0,,,,,Food Security Nutritional Surveillance Project (FSNSP),2.0,Rob Peralta,2
Colonial legacies in African economic history,1.0,,,,,Human Emotions Research Lab,2.0,Terry Cross,2
Understanding the social dimensions of tiger conservation,1.0,,,,,"Research Grants Council, Hong Kong Special Administrative Region, China",2.0,David Smelson,2
APIAE,1.0,,,,,Hunter Cancer Research Alliance Statistical Support Grant,2.0,Hendrik Hakenes,2
Leadership Versatility Index (LVI),1.0,,,,,UNDP Mozambique,2.0,XiaodiWang,2
Coimbra Chemistry Centre,1.0,,,,,Center on Aging,2.0,Julian Ford,2
2012 Northern Finance Association Meetings,1.0,,,,,NGO,2.0,Paolo Di Martino,2
RISING program,1.0,,,,,Mark's Charitable Trust,2.0,Debra Satz,2
Luiz de Queiroz Collegue of Agriculture,1.0,,,,,Healthy Environments Partnership (HEP),2.0,Rogerio Brites Pires,2
BC Lung Association,1.0,,,,,ACUP,2.0,Ping Teresa Yeh,2
IRI THESys,1.0,,,,,PHG Foundation,2.0,Katja Jarvela,2
Continuous Connectivity,1.0,,,,,aegis of Louis Bachelier Finance and Sustainable Growth laboratory,2.0,Maja Jakobsen,2
Studying GDP Regional Imbalances,1.0,,,,,Desjardins Foundation,2.0,Carly Nichols,2
Muscular Dystrophy Campaign,1.0,,,,,Panama-United States Commission for the Eradication and Prevention of Screwworm,2.0,Manos Matsaganis,2
2014 International Association for Relationship Research conventions,1.0,,,,,Corangamite Catchment Management Authority,2.0,Giorgio Calzolari,2
Institution Vision Nouvelle in Limbe,1.0,,,,,Ontario Ministry of Health and Long-term Care Health System Performance Research Network (HSPRN,2.0,G.Cubbada,2
Cliometrics Workshop in Strasbourg,1.0,,,,,Endeavour Research Fellowship (Department of Education and Training,2.0,Sally Sheard,2
ASSA Meetings 2013,1.0,,,,,Intersectoral Fund for Health Service Research-Capital Region of Denmark,2.0,Kevin Houstoun,2
Platform Value Now: Value Capturing in the Fast Emerging Platform Ecosystems,1.0,,,,,MA Department of Agricultural Resources,2.0,David Caron,2
UEFA Research Grant Programme 2014/15,1.0,,,,,Yunxiao Chen,2.0,Jean-Francois Trani,2
Oxford Children's Corpus,1.0,,,,,Framework 4 Agreement,2.0,Timothy Smith,2
Modelli ed algoritmi innovativi per problemi strutturati e sparsi di grandi dimensioni,1.0,,,,,"Scientific Research Foundation for the Returned Overseas Chinese Scholars, State Education Ministry",2.0,Pamina Gorbach,2
ENVNANO,1.0,,,,,International Centre for Mathematical Sciences (ICMS),2.0,Cindy Ku,2
"Workshop on Institutions, Economic Behavior and Economic Outcomes (Alghero)",1.0,,,,,The Gillbergska Foundation,2.0,John Holmes,2
Influencing Factors and Promoting Strategies,1.0,,,,,DOE Office of Science,2.0,Nuki Mayasari,2
Spatial Dialogues: Public Art and Climate Change,1.0,,,,,United States Air Force Office of Scientific Research,2.0,Craig McIntosh,2
Riksbankens Jubileumsfond,1.0,,,,,Higher Education Authority,2.0,Eduardo Morales,2
Graduate Education Innovation Program,1.0,,,,,European Commission FP7 Marie Curie Researcher Mobility Grant,2.0,Kristin Seefeldt,2
La educacion primaria y secundaria en Colombia en el siglo XX,1.0,,,,,FCT Doctoral Fellowship,2.0,Zachary Wulderk,2
"2010 All UC Economic History Conference in Pasadena, California",1.0,,,,,Seventh Framework Program of the European Union (FP7/2007-2013),2.0,John Hillas,2
AGRICISTRADE,1.0,,,,,Major Collaborative Research Initiative (MCRI),2.0,Mariken van der Lubben,2
Mental Health Commission,1.0,,,,,Horizon 2020 scheme,2.0,Adam Miklosi,2
Excellence Cluster,1.0,,,,,government-funded National Research Foundation of Korea,2.0,Ashley J. Williams,2
Association of American Geographers in Boston,1.0,,,,,American Political Science Association Policy Studies Organization,2.0,Burak Uras,2
SOEP Brownbag Seminar (2015,1.0,,,,,International Accounting Standards Board (IASB),2.0,Charles C. Benight,2
"European Historical Economics Society Conference (Geneva, 2009",1.0,,,,,Mexican Government,2.0,Kelly Joyce,2
2015 EHES conference in Pisa,1.0,,,,,Berlin-Brandenburg Academy of Sciences' Research Group on Aging and Societal Development,2.0,Dowan Kim,2
Fast Track,1.0,,,,,Cuyahoga County Office of Early Childhood/Invest in Children,2.0,Abe De Jong,2
Foundations' Postdoc Pool,1.0,,,,,Gaspard Monge Programme for Optimization and Operational Research,2.0,Ivan Narvaez,2
"2012 World Economic History Congress (Stellenbosch, South Africa)",1.0,,,,,"Ministry of Education, Sports and Leisure (MELS) of Quebec",2.0,Matthew McAtee,2
Solidaridad,1.0,,,,,NHMRC Research Fellowship Award,2.0,Kole,2
MIJ,1.0,,,,,Federal Reserve Board,2.0,Allan Williams,2
Society for Personality and Social Psychology in Austin,1.0,,,,,Christian and Missionary Alliance Western Canadian District,2.0,Mathieu Cambou,2
2014/15 Advanced Research Grant Programme of the IOC Olympic Studies Centre,1.0,,,,,Adherence & HRQOL,2.0,Peter Spoida,2
EYYL,1.0,,,,,Greek Biotope / Wetland Centre),2.0,E. Benos,2
Strategic Research Portfolio,1.0,,,,,Queensland Department of Child Safety,2.0,Maria Valenzuela,2
Nutrition Services (Alberta Health Services,1.0,,,,,Virginia G. Piper Foundation,2.0,Mauricio Gallardo,2
universities in TRAILS,1.0,,,,,Mayor's Office for Economic Opportunity (NYC Opportunity),2.0,Agostino Capponi,2
"XVIth World Economic History Congress (Stellenbosch, 2012",1.0,,,,,"Dutch Ministry of Health, Welfare and Sports and the City Councils of Amsterdam, Amersfoort",2.0,Shanna Pearson-Merkowitz,2
5th Workshop on the Economics of Health and Wellbeing,1.0,,,,,EC (FP7),2.0,Debbie Rogow,2
Men's Depression and Suicide Network,1.0,,,,,Shanghai Science and Technology PuJiang Funds,2.0,Andrzej Strojwas,2
2015 QMUL Exploitation Workshop,1.0,,,,,InWeb,2.0,Jennifer Ailshire,2
NIMH Genetics Initiative,1.0,,,,,COGNITSIMS EU,2.0,Danielle Stoneberg,2
Alzheimer's Research UK Co-ordinating Centre,1.0,,,,,Stevens Alliance for Innovation and Leadership,2.0,Caryn Pelegrino,2
IIPF in Lugano,1.0,,,,,National Institute of Health Research programme,2.0,Jessica Green,2
IISH,1.0,,,,,Policy Wise Alberta Canada,2.0,Jo Weaver,2
Community Research Fellows Training (CRFT),1.0,,,,,Australian Department of Social Services (DSS),2.0,Karin Zitzewitz,2
2017 Susilo Symposium,1.0,,,,,Samuel Silberman Fund,2.0,Istvan Toth-Kiraly,2
Berkeley Forum for Improving California's Healthcare Delivery System,1.0,,,,,District Agriculture and Forestry Office (DAFO),2.0,John Langley,2
"Ideas of Arctic Exceptionality? Historical Understandings of the Spaces, Cultures and Environments of the Circumpolar North",1.0,,,,,Martin-Moreno,2.0,Ana Patricia Hilario,2
"Project ""Genomics and Evolutionary Biology",1.0,,,,,South African Social Attitudes Survey (SASAS),2.0,Rivera,2
Stephen A. Jarislowsky Chair in Governance,1.0,,,,,Scientific Fundof the Emergency Department,2.0,Mahmoud Eid,2
CHH,1.0,,,,,POPH/FSE program,2.0,Ronald C. Kessler,2
NESDO,1.0,,,,,Research Centre on Intimate Relationship Problems and Sexual Abuse (CRIPCAS),2.0,Stoebenau,2
"ZonMw, Program In Sight",1.0,,,,,Ford Foundation Fellowship Program,2.0,Kostas Tatsiramos,2
GSE,1.0,,,,,Global Demography of Aging Program,2.0,Wilma Sims,2
Critical Infrastructure Failure and Mass Population Response,1.0,,,,,NIH Office of Behavioral and Social Sciences Research (OBSSR),2.0,Vekkal John Varghese,2
RIDGE Workshop on Comparative studies of the Southern Hemisphere,1.0,,,,,"National Institute of Mental Health, Bethesda, MD, USA",2.0,Jane Kjemstrup Andersen,2
Special Issue of the Journal of Comparative Economics,1.0,,,,,Moro Islamic Liberation Front,2.0,Asa Maron,2
Kinderkinetics,1.0,,,,,Este estudio ha sido parcialmente financiado por el Ministerio de Economia y Competitividad de Espana,2.0,Fransfontein,2
2015 Annual Meeting (February 2015,1.0,,,,,ESRC/DfID Poverty Alleviation,2.0,Guillaume Osier,2
Econometric Society North American Summer Meeting 2014,1.0,,,,,Berrow Scholarship Foundation,2.0,Garcia-Gomez,2
CT17097) Business School for an Industry Partnership Grant,1.0,,,,,Swiss National Science Foundation project Sinergia,2.0,Bruce Edmonds,2
Chronic illness and patient orientation,1.0,,,,,Communities of Color ORISE Fellowship Program,2.0,Patricia Aufderheide,2
Parliaments and Prosperity. The Impact of State Capacity on Economic Growth in pre-1800 Europe,1.0,,,,,European Firms,2.0,David Duffy,2
22nd International Conference of Europeanists in Paris,1.0,,,,,APVV,2.0,Jeronia Pons,2
Justice Resource Institute,1.0,,,,,Intramural Research Program of the US Department of Agriculture National Agricultural Statistics Service,2.0,Josep Corco,2
Division for Research Development and Support,1.0,,,,,MTO Sakerhet AB,2.0,Adam T. Perzynski,2
"Hamburg Congress for Sports, Economy and Media",1.0,,,,,ESRC First Grant,2.0,Priscilla K. Rogerson,2
Manitoba Health Carryover Funds,1.0,,,,,Saudi government,2.0,Yehonatan Alsheh,2
Seeing Colors' symposium in Regensburg,1.0,,,,,Annenberg Foundation,2.0,Nie tylko,2
London Business School,1.0,,,,,Department of Behavioral and Community Health,2.0,Andreae,2
Revised Clinical Interview Schedule,1.0,,,,,Australian-American Fulbright Commission [Senior Scholarship,2.0,Frog,2
NERD,1.0,,,,,American Society of Safety Engineers Foundation,2.0,Kasper Roszbach,2
W2O Group,1.0,,,,,"Centre for Disease Control: Epidemiology, Prevention and Treatment of Influenza and Other Respiratory Infections",2.0,Katherine Macdonald,2
Finnish Center of Excellence in Research on Intersubjectivity in Interaction,1.0,,,,,JDC Israel Institute for Leadership and Governance,2.0,Christina B. Gee,2
TREES,1.0,,,,,Federal Reserve Bank of Chicago,2.0,Don Berry,2
Concern Worldwide,1.0,,,,,IWH,2.0,Monika Grubbauer,2
2016 Association of Internet Researchers annual meeting,1.0,,,,,Rwandan Ministry of Health and Partners In Health/Inshuti Mu Buzima,2.0,Haibo Liu,2
Junior Research Group Phenotyping of Animal Welfare,1.0,,,,,Summerlee Foundation,2.0,Rasmus T. Varneskov,2
La Pedagogia ante la muerte,1.0,,,,,Health Programme,2.0,Ericka Lewis,2
Senior Research Fellowship Salary Award,1.0,,,,,Health & Medical Research Fund,2.0,Shi,2
Irish Research Council,1.0,,,,,Cuba's National Institute for Fundamental Research in Tropical Agriculture (INIFAT),2.0,W. VanHemert,2
College Board,1.0,,,,,Center for International Research in the Humanities and Social Sciences (CIRHUS),2.0,Mary Murphy,2
First in the World,1.0,,,,,New Orleans Council on Aging,2.0,Gerard van der Laan,2
EU-NormCon,1.0,,,,,ESRC +3 studentship,2.0,Mary Kiatainaq,2
Publication Assistance Scholarship (February-April 2015,1.0,,,,,Israel Institute,2.0,Minxin Pei,2
Paramount Importance of Childhood Environment during the Age of Mass Migration,1.0,,,,,National Comprehensive Cancer Network,2.0,Alexandria Smith,2
RGS-IBG Small Research Grant,1.0,,,,,Nepal Health Research Council in Nepal,2.0,Rachel Funk,2
WU Wien,1.0,,,,,Swiss State Secretariat for Economic Affairs (SECO),2.0,Christopher Fuller,2
AQUADAPT,1.0,,,,,ESRC (Future Research Leader Fellowship,2.0,Michael Morrison,2
2015 ABO conference,1.0,,,,,Savings Initiative,2.0,Mangochi,2
PiN,1.0,,,,,ACHIEVEability,2.0,ANDREW MERCER,2
Human Factors and Ergonomics Society,1.0,,,,,Northern Ireland R&D,2.0,Eleftherios Couzoudis,2
11th European Social Science History Conference in Valencia,1.0,,,,,GMH,2.0,Fleishman) Mayer,2
NTA 2015,1.0,,,,,ZEIT Foundation,2.0,Sophie Moinas,2
World Economic History Congress held in Stellenbosch (South Africa,1.0,,,,,Caja Navarra Foundation,2.0,Di Cai,2
Crisis and restructuring of the Spanish tourist coast,1.0,,,,,Scholars Independent Research Fellowship,2.0,Greg Engle,2
SOPHIE,1.0,,,,,Nyae Nyae Development Foundation of Namibia,2.0,Heather-Marie Schmidt,2
Post-Doc Fellowship,1.0,,,,,Daniyar Mushtari,2.0,Jade Boyd,2
Foundation's Grand Challenges Explorations initiatives,1.0,,,,,UK's Leverhulme Trust,2.0,C.S.,2
ESCON,1.0,,,,,Germaine Tillion,2.0,Mark Jayne,2
IV Southern Hemisphere Economic History Summer School (Montevideo,1.0,,,,,Government of Ireland Postdoctoral Award,2.0,Rebecca Spavin,2
QFW2017,1.0,,,,,Danish Society for Survey Research,2.0,Zongming Ma,2
Anthem Blue Cross PPO,1.0,,,,,Grant Agency of the Czech Republic DyMoDiF-Dynamic Models for Digital Finance,2.0,Birgit Rudloff,2
Business Model Assessment,1.0,,,,,British Columbia Children's Hospital Foundation,2.0,Wells Fargo,2
Chile 2010,1.0,,,,,Maritime Transportation Research and Education Center (MarTREC),2.0,Joshua Haynes,2
11th ECPR General Conference in Oslo,1.0,,,,,Nigerian Ministry of Health,2.0,Christian Daye,2
"2016 NBER Productivity, Innovation, and Entrepreneurship",1.0,,,,,British Chinese Adoption Study,2.0,Nathan Adair,2
"Cluster of Excellence 16 ""Cultural Foundations of Social Integration",1.0,,,,,"Brazilian Ministry of Education, Agency for Support and Evaluation of Graduate Studies",2.0,Masa Kudamatsu,2
Office of Research on Women's Health,1.0,,,,,British Society of Gerontology,2.0,Tanya R. Berry,2
Adults and their Parents,1.0,,,,,New Jersey Department of Health,2.0,JohnMarshall,2
iHEA congress 2017,1.0,,,,,Center for HIV/AIDS,2.0,Marie Claire Villeval,2
PLC 40,1.0,,,,,County Council,2.0,Drs. Crabtree,2
"2017 Annual Convention of the Canadian Pain Society, Halifax, Nova Scotia",1.0,,,,,National Asset Management Agency (NAMA),2.0,J.I. Kamau,2
TREE Seminar,1.0,,,,,UK ESRC/NCRM SOCGEN,2.0,Yannis Ioannides,2
Hannah Summer Studentship,1.0,,,,,UK Home Office,2.0,Pranav Desai,2
Applicazioni in ambito Turistico,1.0,,,,,United States of America,2.0,M. Fontana,2
Internet Appendix,1.0,,,,,Early Postdoc.Mobility,2.0,Eileen Min Byul Kim,2
EpiDem workshop,1.0,,,,,TAPS Tragedy Assistance Program for Survivors,2.0,Fanghui Gu,2
Transitions in Amsterdam (TransAM),1.0,,,,,Vasterbotten County Council in Sweden,2.0,Bruce Weaver,2
Centre for Learning and Life-chances in the Knowledge Economies (LLAKES,1.0,,,,,Statistics Netherlands or Statistics New Zealand,2.0,Adriadna Ferrer,2
Social Awareness and Action Training team,1.0,,,,,Te Puni Kokiri,2.0,Rakhee Patel,2
7th Northern Englishes Workshop in Edinburgh,1.0,,,,,EORTC Quality of Life Group,2.0,Ekedi Mpondo-Dika,2
2010 Sumitro Fellowship of the United States-Indonesia Society (USINDO),1.0,,,,,Principality of Asturias,2.0,Daniel Gray,2
Itasca,1.0,,,,,Department for Cooperation and Cultural Action of the General Consulate of France in Quebec,2.0,Reg Baker,2
EOM,1.0,,,,,Advance Patient-Centered Cancer Care,2.0,Thomas Klausch,2
Drivers of Entrepreneurship and Small Businesses,1.0,,,,,Hospice Palliative Care Japan,2.0,Rona Geffen,2
British Association for Islamic Studies (BRAIS) Annual Conference in 2018,1.0,,,,,Zimbabwe Research Council (ZRC),2.0,Niko Paech,2
Pre-session,1.0,,,,,Preludium 2,2.0,Carly Knight,2
ENGAGE Uro-Oncology Clinicians' Group,1.0,,,,,Netherlands Organization for International Cooperation (Nuffic),2.0,Liisi Koots-Ausmees,2
Depression Alliance,1.0,,,,,Summer Institute in LGBT Population Health,2.0,Nikki Gallahan,2
Excellence Project,1.0,,,,,Dementia Training Australia,2.0,Richard Layte,2
Irish Research Council for Humanities and Social Sciences (IRCHSS),1.0,,,,,Florida Agency for Health Care Administration,2.0,Eliza Campbell,2
XVIIth World Economic History Congress (August 2016,1.0,,,,,National Institute for Health Research NIHR HS&DR,2.0,Marcin Wojnar,2
petroleumscape workshop,1.0,,,,,Club Managers Association of America (CMAA),2.0,Maurizio Pisati,2
Observatoire de la Competitivite,1.0,,,,,Hungarian Science Foundation,2.0,Richard Pettigrew,2
Household Budgets and Living Standards during the Nineteenth- and Early-twentieth Centuries,1.0,,,,,NIH/NCI UM1 CA167552,2.0,Pierangelo Toninelli,2
NorLAG dataset,1.0,,,,,Comcare,2.0,M. Nunez,2
Master's programme,1.0,,,,,Natural Environment Research Council grant Space Weather Impacts on Ground-based Systems (SWIGS),2.0,N. Willard,2
CONTACT,1.0,,,,,Africa Future Foundation in Korea,2.0,Eun Jin Moon,2
2016 American Political Science Association conference,1.0,,,,,European Union (EU; Jean Monnet 586912-EPP-1-2017-1-ES-EPPJMO,2.0,Malumbo Mithi,2
NICE,1.0,,,,,Project CEMAPRE,2.0,Martin Caminada,2
ETAG,1.0,,,,,U.S. Department of State Bureau of Conflict and Stabilization Operations (CSO),2.0,Claudia Steiner,2
UTS Finance Discipline Group,1.0,,,,,INRA CIAB (Comite Interne a l'Agriculture Biologique),2.0,Jamie Minich,2
Mechanisms of Action in CBT (MAC)',1.0,,,,,Wellcome Trust Developing Countries Doctoral Studentship,2.0,Pierre-Louis Le Goff,2
International Neuropsychological Society in Seattle,1.0,,,,,Provincial Department of Health,2.0,Barbara Pickering,2
Wisconsin Longitudinal Study Pilot Grant,1.0,,,,,Maritime SPOR Support Unit (MSSU,2.0,Paulo Dias,2
CEMADEN,1.0,,,,,EU HORIZON 2020 FET Open RIA,2.0,Karin Heitzmann,2
"Sixth Annual Symposium for Boston-Area Graduate Students in Psychology, Boston",1.0,,,,,Madrid Social Care Agency of the Community of Madrid,2.0,Rita Achermann,2
2014 Heights and Economic Development Workshop,1.0,,,,,JBA Trust,2.0,Justin Clark,2
"Borders, Intersectionality, and the Everyday",1.0,,,,,Principal Policy and Practice Study,2.0,Ziv Hellman,2
