MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
,,,,,,Strategic Cooperation Project,2,Rajeev Irny,1.0
,,,,,,Open Foundation of the State Key Laboratory of Hydrology -Water Resources and Hydraulic Engineering,2,G. J. Ross,1.0
,,,,,,Private Foundation of the University Hospitals of Geneva,2,O. Kolossoski,1.0
,,,,,,Robert Wood Johnson Foundation Nurse Faculty Scholars,2,Hao Fan,1.0
,,,,,,National Plan,2,PV Tsalu,1.0
,,,,,,NIH (NCATS) CTSA,2,Maurizio Nitti,1.0
,,,,,,National Institutes on Alcohol Abuse and Alcoholism award,2,Sunghyun Park,1.0
,,,,,,Scientific Foundation of State Grid Corporation of China,2,Nadia Robertini,1.0
,,,,,,NCSR,2,Thomas Kundinger,1.0
,,,,,,National Science Fund at the Ministry of Education and Science,2,James Z. Wang,1.0
,,,,,,Early Carrier Research Grant,2,M. Gataric,1.0
,,,,,,Canadian Breast Cancer Foundation,2,Brian Meadows,1.0
,,,,,,"Galician Ministry of Education, Spain, Culture and Universities",2,Qingxin Yuan,1.0
,,,,,,Council of Science and Technology (CONACYT),2,Hans van Ditmarsch,1.0
,,,,,,Key Program Special Fund in XJTLU,2,Seonah Lee,1.0
,,,,,,Government of Sardinia (Italy),2,Tal Hassner,1.0
,,,,,,Guizhou Provincial Key Laboratory of Public Big Data,2,Wendy Baldwin,1.0
,,,,,,UNESCO Chair in Data Privacy,2,Mingxing LIU,1.0
,,,,,,EmPhasys,2,J. Bremer,1.0
,,,,,,City of Cape Town,2,Klemen Pavlic,1.0
,,,,,,Association pour la Recherche contre le Cancer,2,Danielle van Leer,1.0
,,,,,,PDR,2,Mario Berges,1.0
,,,,,,Chinese National Science Foundation (NSF),2,Anthony D'Andrea,1.0
,,,,,,Fulbright-Foundation Monahan program,2,Anita Lauri Korajlija,1.0
,,,,,,"Computer Science and Technology"" Key Breeding Discipline of Guangdong Province 2016",2,Jianguo Zhang,1.0
,,,,,,European Social Fund of the European Union,2,Miguel Flores,1.0
,,,,,,American Nursing Informatics Association Scholarship Award,2,P.S. Satsangi,1.0
,,,,,,"Science and Technology Projects of Guangzhou Municipality, China",2,Krzysztof Bozek,1.0
,,,,,,World Health Organization (Regional Office for Africa),2,Yong Wang.,1.0
,,,,,,California MedicareMedicaid Delivery System Reform Incentive Program (DSRIP),2,Paulo Nunes,1.0
,,,,,,American Medical Informatics Association,2,Xinqi Zou,1.0
,,,,,,Intel (R) AI Academy program,2,Yan-Lai Li,1.0
,,,,,,"National Science Council, Taiwan [Research Project",2,Bailin Deng,1.0
,,,,,,Samsung Fellowship,2,Chun-Hao Hung,1.0
,,,,,,International Visiting Program for Excellent Young Scholars of SCU,2,Yuming Zhou,1.0
,,,,,,Italian project SHELL,2,Michael T. Timko,1.0
,,,,,,plurianual,2,Lionel Ni,1.0
,,,,,,Mary-Jo Haddard Innovation Fund,2,Moret,1.0
,,,,,,ICT R&D program,2,Timothy J. Mavin,1.0
,,,,,,ArthritisPower,2,Aleksandr Y. Aravkin,1.0
,,,,,,National Transportation Safety Board,2,Q. Meng,1.0
,,,,,,Programa de Pos-Graduacao em Ciencias Farmaceuticas,2,G. Fortino,1.0
,,,,,,Collaborative Network for Bipolar Research to Improve Outcomes,2,Weiwei Cheng,1.0
,,,,,,Mexican Oil Company,2,Xiaohai He.,1.0
,,,,,,"Ministry of Electronics and Information Technology (MeitY), New Delhi",2,Luca Biada,1.0
,,,,,,"Petroleum Technology Development Fund (PTDF), Nigeria",2,Antoine Cerfon,1.0
,,,,,,Victorian Metropolitan Alliance,2,Y. Tebbal,1.0
,,,,,,Project TUCENET Sustainable Development of Centre ENET,2,S. R. Buss,1.0
,,,,,,DoD NDSEG Fellowship,2,Jorg Bornschein,1.0
,,,,,,national institute for excellence in health and social services,2,S. White,1.0
,,,,,,Belgian State (Belgian Science Policy),2,Michael Herrmann,1.0
,,,,,,Federal State of Baden-Wurttemberg (Ministry of Arts and Science),2,E. Byrne,1.0
,,,,,,MRCCSO Social and Public Health Sciences Unit (SPHSU),2,Olivier Sartenaer,1.0
,,,,,,EMR,2,Peter Domokos,1.0
,,,,,,Zhejiang,2,Rina R. Wehbe,1.0
,,,,,,National Defense Science and Technology Innovation Special Zone Project of China,2,Rachel Bawden,1.0
,,,,,,South-Eastern Norway Regional Health Authority,2,Jianyang Shi,1.0
,,,,,,Global IT Talent,2,David Cheang,1.0
,,,,,,State Major Science and Technology Special Project,2,Olivier Palombi,1.0
,,,,,,VDI/VDE Innovation + Technik GmbH,2,Uta Hinrichs,1.0
,,,,,,VA Salt Lake City Health Care System,2,Amber Oliver,1.0
,,,,,,Wisconsin Alzheimer's Disease Center,2,Lifeng Sun,1.0
,,,,,,Innovative Use of Information for Clinical Care and Biomarker Research),2,Michael Kastyorano,1.0
,,,,,,COM-STECH-TWAS Joint Research Grants Program for Young Scientist,2,P. Girard,1.0
,,,,,,Zeidler Research Foundation,2,Maria Bentz,1.0
,,,,,,EPSRC UK National Service for Computational Chemistry Software (NSCCS),2,Oriol Colomes,1.0
,,,,,,innovation project of science and technology of Shaanxi province,2,W. Ge,1.0
,,,,,,EU FP7 HEALTH.2013.4.2-3,2,Vinod A Prasad,1.0
,,,,,,Gippsland Primary Health Network,2,J. Yang.,1.0
,,,,,,Centro Universitario de la Defensa project BIO-DIVING,2,Simon Osindero,1.0
,,,,,,PICT Start-up 2015-0006,2,Russell Williams,1.0
,,,,,,National Natural Science Foundation of China in Cultivation Project,2,Tomasz Szepieniec,1.0
,,,,,,Potential for Excellence Program (UGC-UPE),2,Andreas-Alexandros Vasilakis,1.0
,,,,,,European project HELIOS,2,H. Jurgensen,1.0
,,,,,,Gefordert aus Mitteln des vom Land Tirol,2,Miriam Clemente,1.0
,,,,,,AHRQ R01HS019913,2,Yinyin Lin,1.0
,,,,,,Instituto Carlos III,2,Ran,1.0
,,,,,,Guangxi Cooperative Innovation Center of Cloud Computing,2,Gereon Fink,1.0
,,,,,,RICH Model Toolkit,2,Donald A. Nield,1.0
,,,,,,Research Fund for International Young Scientists,2,Jeremy Braff,1.0
,,,,,,Regionales Rechenzentrum Erlangen (RRZE),2,Terence Kelly,1.0
,,,,,,Hubert Curien CEDRE,2,Rodolphe Jenatton,1.0
,,,,,,Newton Institutional Links Grant,2,Jens-Rainer Ohm,1.0
,,,,,,NICE,2,Whittaker,1.0
,,,,,,Shanghai Disabled Person's Federation,2,Andre Brechmann,1.0
,,,,,,"National Health Service, NIHR, NCSEM England",2,Ruhul Amin,1.0
,,,,,,Dutch Organisation for Health Research and Development (ZonMw),2,Rebecca P. Khurshid,1.0
,,,,,,Start Up Research Grant (SRGP),2,H. Johansson,1.0
,,,,,,Aid Program for Science and Technology Innovative Research Team,2,Nicolas Robinson-Garcia,1.0
,,,,,,Swedish e-Science Research Centre (SeRC),2,Jing Na,1.0
,,,,,,Start-up Grant of SZU,2,Arie Tamir,1.0
,,,,,,European Union's Seventh Framework Programme Project frontierCities,2,S. V.,1.0
,,,,,,Technology and Innovation Commission of Shenzhen in China,2,Hasan Metin Aktulga,1.0
,,,,,,NIH-NIA for Mentoring and Research in Patient-Oriented Geriatric Emergency Care,2,J. Shen.,1.0
,,,,,,Ministry of Education of Singapore AcRF,2,Andrew Mouck,1.0
,,,,,,"Carnegie Research Incentive Grant, United Kingdom",2,K.U. Mayer,1.0
,,,,,,National Cancer Action Plan,2,Fred Y. Ye,1.0
,,,,,,Japan Science and Technology Agency in Center of Innovation Program (COINS),2,Moses Odero John,1.0
,,,,,,Jilin provincial education department,2,Daniel Heck,1.0
,,,,,,"Cultivation Program for Major Projects and Important Achievements of Guangdong Province, China",2,Sunny Wang,1.0
,,,,,,Education Department of Fujian Province A-Class Foundation Project,2,F. Herrera.,1.0
,,,,,,New York City Hispanic Dementia Caregiver Research Program (NHiRP),2,Julius Schulz-Zander,1.0
,,,,,,"Office of Specialty Care Services, Department of Veterans Affairs - Specialty Care Transformation Initiative, Innovations in Consult Management (Electronic and Phone Consults",2,Raimar Sandner,1.0
,,,,,,Program for Changjiang Scholars and Innovative Research Team in Chinese Universities,2,Bjorn Wessel-Tolvig,1.0
,,,,,,Supporting Plan for Cultivating High Level Teachers in Colleges and Universities in Beijing,2,Jong Ho Lee,1.0
,,,,,,NIHLEQSF,2,Ryan Brackney,1.0
,,,,,,Science & Technology Supporting Program in Hubei province,2,Klaus-Robert Muller.,1.0
,,,,,,Higher Education Commission (HEC),2,Jeremy Boy,1.0
,,,,,,Heilongjiang Province Health Department of Scientific Research Projects,2,Siqi Tu,1.0
,,,,,,Wuhan Basic Applied Research Project,2,S. Khanna,1.0
,,,,,,Primary Research & Development Plan (Social Development) of Jiangsu Province,2,Sally Benson,1.0
,,,,,,RoboCity2030-III-CM project,2,Eya Ben Charrada,1.0
,,,,,,Astronautic Support Fund,2,Attila Gyulassy,1.0
,,,,,,Information Technology Industry Development Agency (ITIDA),2,Martijn Koedam,1.0
,,,,,,National Science Foundation (Industrial Innovation and Partnerships grant 2016,2,D. Bonsai,1.0
,,,,,,"National Institute of Diabetes, Digestive and Kidney Diseases (NIDDK)",2,Jianjun Meng,1.0
,,,,,,Pfizer's Independent Grants for Learning and Change,2,Evan Shieh,1.0
,,,,,,KT Canada Student Fellowship and Training Program Award and Student Research Stipend,2,Ed Rooke,1.0
,,,,,,Deutsche Forschungsgemeinschaft (PRETSY2 project,2,Krisztian Birkas,1.0
,,,,,,TUNER,2,Guillaume Desjardins,1.0
,,,,,,HSR&D Career Development Award,2,Hui-Yin Wu,1.0
,,,,,,Internet Society,2,Joachim Weickert,1.0
,,,,,,CAPESA,2,Kirsten Schmitz,1.0
,,,,,,NSF Physics of Living Systems Award,2,M. Kramer,1.0
,,,,,,Canadian Respiratory Research Network,2,Mike Depinet,1.0
,,,,,,Natural Science Foundation for Universities of Jiangsu,2,Fanco Ke,1.0
,,,,,,U.S. DARPA,2,Aravindan Vijayaraghavan,1.0
,,,,,,KKK,2,J. Oommen,1.0
,,,,,,"NIH, NIDA",2,W. Jiang,1.0
,,,,,,National Science Foundation-IOS-1339282,2,Tony Glover,1.0
,,,,,,iCare4COPD Project of Agentschap NL,2,P. Zeng,1.0
,,,,,,Center for Advancing Business through Information Technology (CABIT),2,A. M. Pino,1.0
,,,,,,Research Scholar Program (RSP),2,William Voorsluys,1.0
,,,,,,Royal Dutch Shell,2,Kun Wang,1.0
,,,,,,Fapitec/SE,2,Jilie Zhou,1.0
,,,,,,Erasmus Mundus JoinEU-SEE,2,Jung-Won Lee,1.0
,,,,,,Flagship InterOmics (PB05),2,Mamoru Iketani,1.0
,,,,,,CDC and Prevention Autism and Developmental Disabilities Monitoring Network,2,Nancy Burchfield,1.0
,,,,,,National High-Level Talents Special Support Program of China,2,Jason Hsu,1.0
,,,,,,CNPq/MCTI,2,Nico van Dijk,1.0
,,,,,,ter Beek et,2,Pranav J. Parikh,1.0
,,,,,,Department of Education of Zhejiang Province in China,2,Kent D. Miller,1.0
,,,,,,Moore Foundation,2,Browne,1.0
,,,,,,Zijin Intelligent Program,2,Juha Hamalainen,1.0
,,,,,,Fundo para o Desenvolvimento das Ciencias e da Tecnologia of Macau,2,Jiri Bittner,1.0
,,,,,,"National Institutes of Health (NIH), United States",2,Xiaobai Liu,1.0
,,,,,,Republic of Turkey Ministry of Development Infrastructure,2,Pontus Warnestal,1.0
,,,,,,Key Research Center of Philosophy and Social Science of Zhejiang Province,2,Christian Eichhorn,1.0
,,,,,,regional council of Basse Normandie,2,Ben Hamner,1.0
,,,,,,PolyU 1-BBYC,2,Dan Kerley,1.0
,,,,,,"Education Department of Hubei Province, China",2,J. Huang,1.0
,,,,,,Southern California Clinical and Translational Science Institute (SC CTSI),2,Anthony Nicholls,1.0
,,,,,,National Institute of Health/NCATS,2,Lixing Zhu,1.0
,,,,,,DST Swarnajayanti Fellowship,2,C. Simo,1.0
,,,,,,Self-conducted Exploratory Research Program from State Key Laboratory for Software Development Environment in China,2,Wenzuo Li,1.0
,,,,,,Network for Prevention and Health Promotion in Primary Care,2,Bin Zhang,1.0
,,,,,,MUHC Alan Edwards Pain Management Unit,2,Simon Davidson,1.0
,,,,,,Erasmus Mundas Mobility from Asia (EMMA),2,Tongliang Liu,1.0
,,,,,,European Project ElasTest in the Horizon 2020,2,Anja Reuter,1.0
,,,,,,Chandler Cox Foundation,2,Jianfeng Lu,1.0
,,,,,,Ministerio de Economia y Competitividad (Spanish Ministry of Economy and Competitiveness),2,Nick Knouf,1.0
,,,,,,MEC FPU,2,Olli Keisanen,1.0
,,,,,,"Brazilian Ministry of Science, Technology, Innovation and Communication (MCTIC)",2,Pasi Saari,1.0
,,,,,,Dylan Small,2,Veronica Solombrino,1.0
,,,,,,Medicines for Malaria Venture (MMV),2,R. Dehghannasiri,1.0
,,,,,,Key Project of Yunnan Nature Science Foundation,2,Anders Willersrud,1.0
,,,,,,Department of Pediatrics Chair's Initiative,2,Medard,1.0
,,,,,,United States Office of Naval Research,2,"Jacqueline Wong,Dan Davis",1.0
,,,,,,Fundamental Science and Technology Program of Ministry of Public Security,2,Leandro Costa,1.0
,,,,,,Macau Science Technology Development Fund,2,Simon Wendsch,1.0
,,,,,,2017 Open Fund Project of the State Key Laboratory of Power Grid Environmental Protection,2,L. Rothrock,1.0
,,,,,,Dementia Fellowship,2,C. Garland,1.0
,,,,,,CentraleSupelec,2,Ahmet Ay,1.0
,,,,,,Development of Robotic Drug Preparation System,2,Idit Harel,1.0
,,,,,,Department of Earth Sciences,2,Rocio Linares,1.0
,,,,,,"New Century Program for Excellent Talents of the Ministry of Education of China, Liaoning province",2,K.L. Willis,1.0
,,,,,,German Cancer Research Center in Heidelberg,2,Louis Henry,1.0
,,,,,,Higher Education Authority of Ireland,2,Xin Sun,1.0
,,,,,,Fairweather Family Fund,2,Simone Rossi,1.0
,,,,,,International Study of Childhood Obesity Lifestyle and Environment (ISCOLE),2,Stephen Sinclair,1.0
,,,,,,DBT-India under Nanotoxicology and Nanomedicine-Phase-II Program,2,Julien Rebetez,1.0
,,,,,,Open Project Program of Key Laboratory of Intelligent Perception and Systems for High-Dimensional Information of Ministry of Education,2,Mary Fenelon,1.0
,,,,,,Dalian Youth Science and Technology Star Project,2,Mingfong Jan,1.0
,,,,,,Jiangsu Province Qing Lan Project,2,Z. Guo,1.0
,,,,,,French National Research Agency (l'Agence Nationale de la Recherche),2,Mohammad Al Hasan,1.0
,,,,,,International Postgraduate Award Scholarship,2,Enrica L. Santarcangelo,1.0
,,,,,,Asahi Glass Foundation,2,Stefano Soatto,1.0
,,,,,,"Innovation and Regulation in Digital Services Chair, France",2,Michelle Karsprzak,1.0
,,,,,,Chongqing Municipal Natural Science Foundation,2,Heather Douglas,1.0
,,,,,,Korea Electrical Engineering & Science Research Institute,2,William Bialek,1.0
,,,,,,School of Business Administration Spring/Summer Research Fellowship,2,Fridama,1.0
,,,,,,Chunhui Plan Cooperative Research for the Ministry of Education,2,Siqian Shen,1.0
,,,,,,Instituto de Investigacion y Tecnologia Agraria y Alimentaria),2,Li Li.,1.0
,,,,,,Swedish Governmental Agency for Innovation Systems) project Innovation mot Infektion,2,Tommaso Benacchio,1.0
,,,,,,Good Publication Practice (GPP3),2,Chung Chan,1.0
,,,,,,"BBVA Foundation Grant for Researchers and Cultural Creators, TelePares (MINECO",2,Stefan Seiterle,1.0
,,,,,,Inter-University Semiconductor Research Center (ISRC),2,Martin Cooper,1.0
,,,,,,Autism Speaks grant,2,Jaime Sichman,1.0
,,,,,,EU FP7-ICT-2013-10 project REPARA,2,Rafael Toledo,1.0
,,,,,,German Foreign Ministry,2,Emily Mower Provost,1.0
,,,,,,National Natural Science Fund for the Youth of China,2,Jos van den Berg,1.0
,,,,,,NSF Molecular and Cellular BioSciences Award (Systems and Synthetic Biology),2,Rachel White,1.0
,,,,,,Program for National Natural Science Funds for Distinguished Young Scholar,2,Julian Plagemann,1.0
,,,,,,Drug Repositioning Programme of,2,Andrey Kupavskii,1.0
,,,,,,Social Science Planning Project of Fujian Province,2,Helen L. Bear,1.0
,,,,,,Channel 7 Children's Research Foundation,2,Yazhou,1.0
,,,,,,Hauts de France Regional Council,2,Diana Kupfer,1.0
,,,,,,McKesson Foundation,2,Takaaki Miyazaki,1.0
,,,,,,Science Achievement Scholarship of Thailand (SAST),2,Andreas Svensson,1.0
,,,,,,Yangcheng Scholars Program of Guangzhou,2,J. Alabort-i-Medina,1.0
,,,,,,European Research Council grant DevHEALTH,2,Pascal Gaillard,1.0
,,,,,,"Agencia Estatal de Investigacion (AEI)/European Regional Development Fund (FEDER, UE)",2,Mr. Bird,1.0
,,,,,,"Heart & Stroke Foundation of Canada, Diabetes Canada",2,Bora Kiyan,1.0
,,,,,,Dutch Innovation Foundation Health insurance,2,R. Ayala Solares,1.0
,,,,,,NYS Department of Economic Development NYSTAR,2,Hsiu-Shan Lin,1.0
,,,,,,Hyperintensional Logic for Natural Language Analysis,2,Catherine Marie Burns,1.0
,,,,,,Fundamental Research of Xinjiang Corps,2,P. Xu,1.0
,,,,,,Norwegian Centre for Addiction Research (SERAF),2,M. Harders.,1.0
,,,,,,King Abdullah International Medical Research Center (KAIMRC),2,Stephen Boyd,1.0
,,,,,,"Shared Interoperable Home Ecosystems for a Green, ComfortabLe, and Safe Living",2,Y.,1.0
,,,,,,RRB,2,F. Hale,1.0
,,,,,,EPSRC REMS Programme Grant,2,G. Ortolan,1.0
,,,,,,Barmer,2,Amit Vasudevan,1.0
,,,,,,JYJ,2,Arthur Bernard,1.0
,,,,,,Wellcome/EPSRC Centre of Excellence in Medical Engineering-Personalised Healthcare,2,James Weaver,1.0
,,,,,,"Petrobras, Brazil",2,D. Kratsch,1.0
,,,,,,Science and Technology Program of Shenzhen Polytechnic,2,D. Bremner,1.0
,,,,,,Harkness Fellow in Health Care Policy and Practice,2,Rene Brun,1.0
,,,,,,Innovation Planning Fund,2,Chi Liu.,1.0
,,,,,,Hong Kong Innovation and Technology Commission (ITC),2,Alan Sullivan,1.0
,,,,,,Kantonsspital Winterthur,2,Robin Kothari,1.0
,,,,,,Fondo para el Fomento de la Investigacion Medica),2,Hermann Hellwagner,1.0
,,,,,,"National Priority Driven Research Program in Gay, Lesbian, Bisexual, Transgender, and Intersex (GLBTI) People",2,Qing Xiang,1.0
,,,,,,Technology Development Program to Solve Climate Changes,2,F.S. Imani,1.0
,,,,,,Joint Fund of Civil Aviation Research,2,Veronique Guilloux,1.0
,,,,,,LITI,2,D. Bresolin,1.0
,,,,,,KFUPM,2,Bartosz Krawczyk,1.0
,,,,,,Castlereagh City Council,2,Peng Liu,1.0
,,,,,,Key Population Implementation Science (KPIS) initiative,2,Francesco Crivelli,1.0
,,,,,,2014 Annual Aviation Science Funds,2,Christiane Wolfel,1.0
,,,,,,State Key Laboratory of Urban Water Resource and Environment,2,Kevin Ramm,1.0
,,,,,,Major Projects of Natural Sciences of University in Jiangsu Province of China,2,M.E. Coniglio,1.0
,,,,,,Nunhems,2,M. Obrebski,1.0
,,,,,,Centre for Visual Analytics Science and Technology CVAST,2,Meilin Wen,1.0
,,,,,,Swedish Research Council (Vetenskapsradet) project DRIAT,2,Matt Dennis,1.0
,,,,,,Canadian Natural Sciences and Engineering Research Council of Canada,2,Jason Ice,1.0
,,,,,,Spanish MINECO Grant RACHEL,2,Yi-Zhong Ma,1.0
,,,,,,"Land Steiermark (Department 12, Business and Innovation)",2,Yik Ting Choi,1.0
,,,,,,Australian Institute of Family Studies (AIFS),2,Hongjiu Zhang,1.0
,,,,,,Busan Institute of S&T Evaluation and Planning (BISTEP),2,Livio Robaldo,1.0
,,,,,,Castilla-La Mancha,2,Adam Kuklasinski,1.0
,,,,,,National High-Tech Development Program,2,Hao Yang,1.0
,,,,,,EUnetHTA Joint Action,2,C. Nogueira,1.0
,,,,,,Health Canada,2,Dorel Kiik,1.0
,,,,,,EU TEMPUS LeAGUe,2,Bernd Brugge,1.0
,,,,,,Greater Manchester Primary Care Patient Safety Translational Research Centre (Greater Manchester PSTRC),2,Claudio Ferrari,1.0
,,,,,,Development of Cyber Self Mutation Technologies for Proactive Cyber Defense,2,Steve Brown,1.0
,,,,,,EU-MarieCurie,2,Massimo Tavoni,1.0
,,,,,,European Regional Development Fund (ERDF) Programme,2,Amir Vahid,1.0
,,,,,,"Andalusian Department of Innovacion, Ciencia y Empresa",2,E. Shaked,1.0
,,,,,,Beatriu de Pinos Grant,2,Chandra Chekuri,1.0
,,,,,,Champagne-Ardenne Regional Council (France),2,Kristoffer Matheson,1.0
,,,,,,Prevention and Fight against Crime Programme,2,Laura Taverna,1.0
,,,,,,Open Project Program of the State Laboratory of Computer Architecture,2,Jinyong Chang,1.0
,,,,,,Andalusian,2,Alan Richardson,1.0
,,,,,,AOARD R&D,2,J. Peng,1.0
,,,,,,"NAFOSTED, Vietnam",2,B. DasGupta,1.0
,,,,,,Medical Research Futures Fund Rapid Applied Research Translation Program,2,Glenn Hammond,1.0
,,,,,,Shenzhen Emerging Industries of the Strategic Basic Research Project,2,Dan Zhu,1.0
,,,,,,DARPA Transparent Computing Program,2,Lizhe Wang,1.0
,,,,,,Scientific Plan Projects Foundation of Shanxi Province of China,2,Carly Hylton,1.0
,,,,,,"Jai Shivshakti Health and Education Foundation, Bangalore, India",2,Marco Patrignani,1.0
,,,,,,"Scientific Research Starting Foundation of NCUT, Science and Technology Project of Beijing Municipal Education Commission",2,Hayley Wu,1.0
,,,,,,African Doctoral Dissertation Research Fellowship (ADDRF),2,Richard Kelly,1.0
,,,,,,NMRC Bedside and Bench,2,Qianfeng Lai,1.0
,,,,,,"Science and Technology Planning Key Project of Shandong Universities, China",2,Hee-Kap Ahn,1.0
,,,,,,Heart Failure Society of America Nursing Research Mini Grant,2,Adrian Palacios,1.0
,,,,,,European Research Commission,2,B. Roth,1.0
,,,,,,H2020 Marie SklodowskaCurie Actions,2,Enrique Munoz-Corral,1.0
,,,,,,Allergan,2,J. Niediek,1.0
,,,,,,United States Intelligence Community Post-Doctoral Research Fellowship Program,2,Dewang Chen,1.0
,,,,,,Conseil du medicament du Quebec (Quebec medication board,2,Sladja Maric,1.0
,,,,,,Transatlantic Telehealth Research Network (TTRN),2,Jianxiong Wang,1.0
,,,,,,American Cancer Society MRSG-13-053-01-PCSM,2,M. Silberstein,1.0
,,,,,,Swedish Research Council Development Research grant,2,R. Ji,1.0
,,,,,,Children's Hospital Boston Translational Research Program,2,Javier Samaniego,1.0
,,,,,,IBM Research,2,Juan Cano,1.0
,,,,,,SDSU/UCSD Comprehensive Cancer Center Partnership,2,Tunzi Tan,1.0
,,,,,,"Department of Health and Human Services, Victoria, Australia",2,Edward Kmett,1.0
,,,,,,Greater Plains Collaborative andthe UNMC Research Information Technology Office,2,Naveen Garg,1.0
,,,,,,Osterreichische Forschungsforderungsgesellschaft mbH,2,Jose Camargo De Souza,1.0
,,,,,,ATT Tieto kayttoon,2,M. Thompson,1.0
,,,,,,The Moore Foundation,2,Kenneth J. Loh.,1.0
,,,,,,National Health and Medical Research Council Centre for Research Excellence in eHealth,2,Jean-Philippe Choiniere,1.0
,,,,,,Finnish National Institute for Health & Welfare,2,Vivian Imamura,1.0
,,,,,,National Health and Medical Research Council Project Grant,2,Mateusz Guzek,1.0
,,,,,,Prince Charles Hospital Foundation,2,Sonja Pravilovic,1.0
,,,,,,French Government Research Program Investissements d'avenir,2,Carrie Sturts Dossick,1.0
,,,,,,Excellent Talents Training Subsidy Scheme of Beijing,2,Guangjun Liu,1.0
,,,,,,Research Committee of the Hospital Galdakao,2,Spencer Sherwin,1.0
,,,,,,FUEIB agreement 3194,2,Fukshansky,1.0
,,,,,,Elvia Faggin Foundation,2,Stuart Margolis,1.0
,,,,,,Mississippi IDeA Networks of Biomedical Research Excellence (MS-INBRE),2,Dan,1.0
,,,,,,"Ministry of Economy, Trade and Industry of Japan",2,Albert Clapes,1.0
,,,,,,NIHR MindTech Health Technology Co-operative,2,Martin Bravenboer,1.0
,,,,,,USAID's Saving Lives at Birth Program,2,B. Guo,1.0
,,,,,,Flemish agency of innovation and entrepreneurship (IWT),2,J. deBoer,1.0
,,,,,,Major Research plan of NSF of China,2,Jonathan Robbins,1.0
,,,,,,Project of Science and Technology Development in Henan Province of China,2,Weisong Shi,1.0
,,,,,,Key Project of National Social and Scientific Fund Program,2,R. Kolman,1.0
,,,,,,Zhejiang Medical Science & Technology Project,2,Bastien Chopard,1.0
,,,,,,NIHR Research Methods Fellowship,2,Shandong Wu,1.0
,,,,,,Co-operative Research Centre for Water Sensitive Cities,2,Javier Irimia,1.0
,,,,,,European Research Council's Advanced Grant,2,Yong Sheng Soh,1.0
,,,,,,"National Program for Research, Development and Innovation, Societal Challenges Oriented",2,Eric Manoha,1.0
,,,,,,Brazil,2,A. Leemans,1.0
,,,,,,Grand Challenge Exploration Grant,2,H. Soh,1.0
,,,,,,Government of Navarre (Spain),2,E. Young,1.0
,,,,,,USDA-National Agricultural Statistics,2,Felicia Graybeal,1.0
,,,,,,MCRN Local Research Networks (LRNs) in England,2,Sara Czaja,1.0
,,,,,,Regenstrief Foundation,2,Allen Knutson,1.0
,,,,,,NNSFC&CAAC,2,Bernard Haasdonk,1.0
,,,,,,Harbor-UCLA Medical Center,2,Philippe Thierry,1.0
,,,,,,Ferrero,2,Jim Gwilliam,1.0
,,,,,,Warwick Impact Fund,2,David Naumann,1.0
,,,,,,"Integrating Data for Analysis, Anonymization and SHaring (iDASH)",2,Janos Kollar,1.0
,,,,,,Skolkovo Foundation,2,Nathann Cohen,1.0
,,,,,,Portuguese fundings,2,Marcelo Jenkins,1.0
,,,,,,Society of Behavioral Medicine,2,Yingtao Zuo,1.0
,,,,,,"Veterans Health Affairs, Health Services Research and Development (HSR&D) Career Development Award",2,Sze,1.0
,,,,,,Federal Tobacco Control Strategy,2,David Havens,1.0
,,,,,,Guangxi Education Department,2,Kris Kopp,1.0
,,,,,,NSF China Grants,2,Data61,1.0
,,,,,,United Fund of Ministry of Education for Equipment Pre-research,2,Patris Halapuu,1.0
,,,,,,RSNZ IRSES mobility,2,Eryilmaz,1.0
,,,,,,German Federal Ministry of Education and Research in the Joint Research Project RESIST,2,F. Liu,1.0
,,,,,,NAKI programme of the Czech Ministry of Culture,2,Asim Kadav,1.0
,,,,,,Hungarian National Development Agency,2,Jingjing Huo,1.0
,,,,,,Fujian Province Key Laboratory of Network Computing and Intelligent Information Processing Project,2,Peter Zajac,1.0
,,,,,,"Ministry of Health and Long-Term Care in Ontario, Canada",2,Nuno Pinto,1.0
,,,,,,CTU,2,Yun Long,1.0
,,,,,,Megus,2,Gerson Groth,1.0
,,,,,,Alberta Health Services Cardiovascular and Stroke Strategic Clinical Network,2,Joe Marshall,1.0
,,,,,,SENESCYT - Ecuador,2,Xiuqi Chen,1.0
,,,,,,"DSW Health Insurance, Schiedam, the Netherlands",2,William N. Robinson,1.0
,,,,,,NSFC program for Scientific Research Center,2,Pratyay Mukherjee,1.0
,,,,,,"Tyrolean Science Fund, Austria",2,Victor Adriel de Jesus Oliveira,1.0
,,,,,,Yahoo Research Fellowship,2,Jaydev P. Desai,1.0
,,,,,,Cain Center for Nursing Research,2,Veronica Sundstedt,1.0
,,,,,,Science Research Project of Institutions of Higher Learning in Inner Mongolia,2,S. Garg,1.0
,,,,,,CloudLightning project/Matching Funds,2,Eva Tardos,1.0
,,,,,,COLCIENCIAS (Colombia),2,Paul Barron,1.0
,,,,,,European Union (ESF),2,Tony Lelievre,1.0
,,,,,,Psychometric Research Endowment,2,O. Tan,1.0
,,,,,,HbA,2,Marko Dabrovic,1.0
,,,,,,WIST,2,Joaquin Mauricio Pulido Aguilar,1.0
,,,,,,Mende et,2,Ahmadi Balef,1.0
