MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
AAAE,2.0,Marquette,1.0,,,Les Fonds Europeens,2.0,Christian Binz,3
Economics of Knowledge Contribution and Distribution,2.0,Wivenhoe Park,1.0,,,National Institute of Allergy and Infectious Diseases,2.0,Seneshaw Tamru,3
PAA 2011,2.0,"Western Norway University of Applied Sciences (in Haugesund, Norway",1.0,,,Unicredit & Universities Foundation,2.0,Justin Cheong,3
Cambridge-INET/Cemmap Workshop on Economic and Econometric Applications of Big Data,2.0,"Ontario Agricultural College Research Chair in Agricultural Risk and Policy, Department of Food, Agricultural and Resource Economics",1.0,,,Partners for a New Economy (P4NE),2.0,William Sudderth,3
Transforming Cash Transfers',2.0,Political Economy Workshop at Harvard,1.0,,,"FDIC-CFR, NWO (VIDI, Braggion)",2.0,Mariana Siapka,3
Center for Translational Molecular Medicine (CTMM),2.0,Duke University-North Carolina State University-RTI,1.0,,,consortium MME-DII,2.0,Ana Maria Ibanez,3
More Effective Rural Proofing and Rural Champion Model,2.0,MARA,1.0,,,ONF-Andina,2.0,Morris K. Udall,3
Chinese Economist Society annual meeting,2.0,LSU Finance,1.0,,,Direction de l'Animation de Recherche et des Statistiques (DARES,2.0,George S. Tavlas,3
European Finance Association (EFA),2.0,Industrial Engineering Department,1.0,,,SSHRC Insight,2.0,Jean-Pierre Voyer,3
IFM2,2.0,Georg Ehrnrooth Foundation,1.0,,,Organizational Proximity in Innovation Networks,2.0,Olivier Dessaint,3
Concerns for Status and Social Image at WZB Berlin,2.0,Betty MacMillan Center for International and Area Studies,1.0,,,The Choice Lab,2.0,Gabriel Mwalo,3
CEA conference in Calgary,2.0,School of Economics and Business),1.0,,,Global Development Network (Bartos),2.0,Henry Willebald,3
CAFE,2.0,University of Rome (Italy,1.0,,,Pump,2.0,Zoe Kuehn,3
ERC AdG-GA324048,2.0,Dickey Center for International Understanding,1.0,,,Institutions Asociacion de Turismo Rural Isla Bonita,2.0,Thomas Ahrens,3
2016 Association for Public Policy and Management annual meeting,2.0,University of Wisconsin Sociology Department Economic Sociology,1.0,,,Spanish Ministry of Science and Innovation/Economy and Competitiveness,2.0,Jue Wang,3
Bayesian Analysis World Meeting (ISBA 2014) in Cancun,2.0,International Swedish School AB,1.0,,,Young Scientist Award,2.0,Mathijs van Dijk,3
IGA2 IP 304015,2.0,Yong Teacher of Shanghai International Studies University,1.0,,,The Role of Supranational Institutions in EU Justice and Home Affairs'),2.0,Rebecca Epanchin-Niell,3
Refund to Savings Initiative,2.0,Canazei Winter School,1.0,,,Microeconomic Determinants of Labour Productivity,2.0,Stephane Gauthier,3
COHESIFY,2.0,Von Minden Scholarship at Rutgers Business School,1.0,,,MTA Premium Post Doctorate Research Program,2.0,Jonathan Linton,3
Economic Seminar,2.0,Easton Technology Leadership Program,1.0,,,European Historical Economics Society Conference,2.0,Lia Fernald,3
LINGO,2.0,"Johnson & Johnson Pharmaceutical Services, Beerse, Belgium",1.0,,,Bank Vontobel,2.0,Clara Ines Villegas-Palacio,3
2014 Duke University-University of North Carolina Asset Pricing Conference,2.0,Center for the Promotion of Interdisciplinary Education and Research,1.0,,,Department of Health Care Policy,2.0,Hee-Joon Ahn,3
Annual International Conference of the Research Group on Development Economics (Gottingen 2017,2.0,Departement des Eaux et Forets,1.0,,,2016 Nomura Foundation,2.0,Byungjin Kwak,3
Geography of Innovation 2016 conference in Toulouse,2.0,University of Quebec,1.0,,,Science Research Projects of Guangdong (Soft Science),2.0,Mario Rizzo,3
OSCE,2.0,International Business Economics Workshop (Palma),1.0,,,Agricultural Research Institute of Mozambique (IIAM),2.0,Jim Snyder,3
"2015 Romanian Financial Supervisory Authority Conference, Bucharest",2.0,Presbyterian Fund of Ithaca,1.0,,,Consejeria de Educacion,2.0,Matt Crawford,3
Agent-based Modeling Perspective,2.0,Faculty Research and Creative Activities Award,1.0,,,ODG,2.0,Bruno Gerard,3
Minor Field Studies,2.0,Massachusetts Amherst,1.0,,,"Qatar Foundation, Qatar)",2.0,Simona Zambelli,3
PICARD-2016,2.0,"Oxford PharmaGenesis, Oxford, UK",1.0,,,Mapping Urban Energy Landscapes,2.0,Eric Acheampong,3
CompCroEU,2.0,2017 Vice-Chancellor's Postdoctoral Fellowship of RMIT University,1.0,,,National Perinatal Epidemiology Centre,2.0,Ugo Pagano,3
ESEM in Geneva,2.0,University of Aberdeen Knowledge Exchange,1.0,,,social science program in Henan province of China,2.0,Pierluigi Murro,3
NASDAQ OMX Nordic Foundation,2.0,FGV-Rio de Janiero,1.0,,,United Nations Children's Fund (UNICEF) South Africa,2.0,Clint Peck,3
Future Earth-supported projects Bright Spots: Seeds of Good Anthropocenes,2.0,Graduate School of Human and Environmental Studies,1.0,,,International Society of Non Parametric Statistics (Cadiz),2.0,France Guertin,3
Sustainable Partners - Partners for Sustainability: Emerging Emission Trading Schemes in the PRC,2.0,"FI-0076 AALTO, Finland",1.0,,,National Institute for Population and Social Science Research,2.0,Rita Santos,3
"National ""Four Batches"" Talents",2.0,Intel Collaborative Research Institute for Computational Intelligence (ICRI-CI),1.0,,,"Ministry of Science, Research and Technology of the Islamic Republic of Iran",2.0,Tomoki Fujii,3
External Developments and Macro -Financial Linkages Divisions of the European Central Bank,2.0,University degli Studi del Piemonte Orientale,1.0,,,Food Standards Agency (FSA) UK,2.0,Aidan Meyer,3
"Berlin Conference on Global Environmental Change 2016 in Berlin, Germany",2.0,New Faculty Research Funding,1.0,,,"Economic Valuation and Governance of Marine and Coastal Ecosystem Services (MCES)""",2.0,Jamie Lannen,3
Canadian Health Economists' Study Group Meeting in Winnipeg,2.0,Yale Macmillan Center Faculty Research Award,1.0,,,ANR Equirisk (Equity in Risky Intertemporal Economic Environments),2.0,Marcellin Ouedraogo,3
CEUBPF,2.0,SWET at Hokkaido University,1.0,,,National Statistics Office (INE),2.0,Franklyn Fusingan,3
UWV and Statistics Netherlands,2.0,Beedie School of Business Write Club,1.0,,,General Directorate of Scientific and Technical Innovation of MINECO,2.0,Daniel Beland,3
SING 9,2.0,Caroline Mitchell of Centre for Environmental Economics and Policy,1.0,,,Fundacion Princesa de Asturias,2.0,Pieter Bakx,3
ESPE 2018,2.0,Research Center of International Economics of City University of Hong Kong,1.0,,,Reffect,2.0,M. Watson,3
ACES conference on the Pacific rim economies,2.0,Virginia Tech Carilion Research Institute,1.0,,,Mitsuyoshi Yanagihara,2.0,Joachim Freyberger,3
Canadian Law and Economics Association (CLEA) in Toronto,2.0,University of Maryland Extension,1.0,,,Program on Education Policy and Governance (PEPG),2.0,Eun Jeong Heo,3
2015 RIDGE Workshop in International Macroeconomics,2.0,Division of Faculty and Research Development of Harvard Business School,1.0,,,USDA Hatch/Multi State Project,2.0,Peter Siminski,3
2016 Meeting,2.0,MIT Operations Research Center,1.0,,,CMPO (Bhalotra),2.0,Gary Biglaiser,3
Cambridge Business & Economics Conference,2.0,Logrono City Hall,1.0,,,MIT Energy Initiative Seed,2.0,Bob Bates,3
AddHealth Web site,2.0,Projects Program of Shaanxi University of Technology Academician Workstation,1.0,,,Bangalore Water Supply and Sewerage Board (BWSSB),2.0,Michael Pahle,3
2016 United States Association for Energy Economics (USAEE),2.0,"Washington University in St. Louis, St. Louis",1.0,,,CONICYT PAI/INDUSTRIA 79090016,2.0,Ryan Kennedy,3
Commitment to Equity (CEQ),2.0,Food and Resource Economics Group,1.0,,,Jiangxi Soft Science Foundation of Jiangxi Province,2.0,David Midmore,3
McCormick Program in Agricultural Marketing and Policy,2.0,University Doctoral Degree Programs,1.0,,,Charles K. Birdsall Fellowship,2.0,Roger Lowe,3
2017 CBESS-CeDExCREED (CCC) Meeting,2.0,Department of Environmental and Business Economics,1.0,,,Youth Project of National Social Science Foundation of China,2.0,Roisin Lennon,3
"Journal of Contemporary of Accounting and Economics (JCAE) 2016 Symposium in Bangkok, Thailand",2.0,Graduate Institute (IHEID),1.0,,,PUCP,2.0,Williams,3
StoOpt.NRW,2.0,"International Institute of Social Science and Economics (IISES) conference in Naples, Italy",1.0,,,Dutch National Care for the Elderly Programme,2.0,Xiaojun Song,3
10th European Historical Economics Conference (London,2.0,LAGV Aix-enProvence,1.0,,,Theme-Based Research Fund of HKSAR-RGC-TRF,2.0,Kilian Bizer,3
Energy-related economic stress,2.0,Interacting Minds Centre,1.0,,,European Union Countries,2.0,Laura Razzolini,3
Best Practices Contest,2.0,Royal Swedish Academy of Sciences,1.0,,,French Programme Investissements d'Avenir,2.0,Nuria Mas,3
2016 Latin American Workshop in Law and Economics,2.0,985 Project of Jilin University,1.0,,,Junta de Andalucia Excelencia,2.0,Irma Clots-Figueras,3
Integrated Management System of Innovation in SMEs,2.0,City of Berkeley,1.0,,,Integrated Forest Ecosystem Research program,2.0,Aline Mosnier,3
Tubingen (Economics of Education Committee of the German Economic Association,2.0,"Indian Institute of Technology, Kharagpur, India",1.0,,,"UPecon Foundation, Inc",2.0,James Cassing,3
Residence de Recherche,2.0,Korea Polar Research Institute,1.0,,,MacArthur Foundation's Research Network on the Nature and Origin of Preferences,2.0,Julia Vivalo,3
Program Commission on Sustainable Energy and Environment,2.0,Instituto Desarrollo,1.0,,,National Program of Cancer Registries,2.0,Marshall Schminke,3
Good Things Come to Those Who (Are Taught How to) Wait: An Educational Intervention on Time Preference,2.0,ReCOr at UQAM (Canada,1.0,,,Walton Neurological Disability Fund,2.0,Chris Hogan,3
DSSE-ISFOL workshop on Human Capital and Education in Rome (2013,2.0,Univ. Paris Dauphine,1.0,,,Humanity and Social Science Foundation of Education,2.0,Joep Cornelissen,3
2016 Real Estate Research Institute,2.0,SAC Capital Advisors,1.0,,,Synthesis Project of the Robert Wood Johnson Foundation,2.0,Francesco Saita,3
2012 ENTER Jamboree conference,2.0,MGIMO University Institute for International Studies,1.0,,,U.S. National Security Education Program,2.0,Kanagaretnam,3
SusTRIP,2.0,U Oslo,1.0,,,"DAAD Scholarship, Indonesia and Germany",2.0,Andrew Haines,3
Deutsche Bundesbank,2.0,Cindy Page Faculty Distribution Fund at UND,1.0,,,BONUS GO4BALTIC,2.0,Konrad Podczeck,3
DIW Seminar on Macroeconomics and Econometrics' in Berlin,2.0,Baltimore County Department of Environmental Protection and Sustainability,1.0,,,Fondation de Famille Sandoz,2.0,Dean Croushore,3
Trade Facilitation for Poverty Reduction: Building Capacity for the Implementation of Pro-Poor Trade Facilitation Policies and Measures in Developing Asian Countries' on 26 March 2013,2.0,CUHK (Shenzhen),1.0,,,NWO Vidi,2.0,Jeremiah Green,3
Financial Time Series Analysis Workshop,2.0,Programme Avenir Lyon Saint-Etienne of Universite de Lyon,1.0,,,Amazon Web Services in Education Research Grant,2.0,Mike Weber,3
7th International Conference at Finance UC (2016,2.0,Emeritus Professor of Marketing,1.0,,,European Commission Structural Reform Support Service,2.0,Mahmut Yasar,3
RATIO institute,2.0,Center for Human Resource Research (CHRR),1.0,,,IFPRI Mobile Experimental Economics Laboratory (IMEEL),2.0,Mario Holzner,3
2014 Annual Meeting of the International Agricultural Trade Research Consortium,2.0,Cleghorn Faculty Scholar Award,1.0,,,MENRT/Ecole Doctorale ED465 Pantheon-Sorbonne,2.0,Jivas Chakravarthy,3
2015 CCC meeting in Norwich,2.0,Agnes Scott College,1.0,,,Open Foundation of State Key Laboratory of Electronic Thin Films and Integrated Devices,2.0,Giuseppe Attanasi,3
ICREA Academia,2.0,Barbara Sharpf Professorship in Entrepreneurship,1.0,,,DFG-Grant Nos,2.0,Paolo Naticchioni,3
Sinergia Workshop (Basel),2.0,Hun-Joon Park Yonsei University,1.0,,,FDZ,2.0,Victoria Halenda,3
"LSE Economic Networks and Finance, NBER Corporate Finance",2.0,University of Michigan Genomics for Social Scientists Workshop,1.0,,,Ningbo Soft Science Programme,2.0,Arthur van Benthem,3
BCIRDC,2.0,"University of Free State, Bloemfontein",1.0,,,Shanghai Pujiang Talent Plan,2.0,Franziska Holz,3
DALTON,2.0,Raya Strauss Family Business Research Center,1.0,,,Woods Hole Research Center,2.0,Bo Qin,3
NUS RMI Credit Risk Symposium 2014,2.0,Arbeit,1.0,,,European COST TU1002,2.0,Juan Sanchez,3
Third Summer School on the Chinese Economy (Clermont-Ferrand,2.0,"South Hall, Berkeley",1.0,,,Eighth Annual Conference on Empirical Legal Studies,2.0,Ata Can Bertay,3
Transforming the Engineering of Cities to Deliver Societal and Planetary Wellbeing,2.0,Swinburne University,1.0,,,Economic and Social Research Council for the Centre for the Understanding of Sustanable Prosperity,2.0,David Ahn,3
EMInInn),2.0,Graduate School of Management of Technology),1.0,,,"Department of Children and Youth Affairs, Ireland",2.0,Federico Boffa,3
ERSA conference in Palermo,2.0,San Francisco Planning Department,1.0,,,General Royalties System,2.0,Mariah Ehmke,3
Lokale Passung,2.0,Chang Gung University,1.0,,,National Institute for Health Research Comprehensive Local Research Network,2.0,Robert Smith,3
2013 Reykjavik Annual Workshop on the Economic Science with Heterogeneous Interacting Agents,2.0,Academy of Finland Researcher,1.0,,,UK Data Service Data,2.0,Lucas Herrenbrueck,3
NARSC 2015,2.0,Foundation for Science and Technology Development of Ton Duc Thang University (FOSTECT),1.0,,,Gauteng Provincial Government,2.0,Shubham Jain,3
"31st Nordic Health Economists Study Group Meeting in Umea, Sweden",2.0,University of Minnesota Healthy Foods,1.0,,,IIED,2.0,Juliane Zenker,3
7th Annual Meeting of the America Latina Crime and Policy Network,2.0,Brussels,1.0,,,IZA/DFID Growth and Labor Markets in Low Income Countries (GLM-LIC) Phase IV,2.0,Francesco Audrino,3
Imperial Queen's Park Hotel,2.0,University of Arizona Department of Management and Organizations,1.0,,,U.S. Census Bureau RDC,2.0,Pierre Picard,3
Dote dei Ricercatori e Dote della Ricerca Applicata,2.0,Ciriacy-Wantrup Postdoctoral Fellowship at UC Berkeley,1.0,,,Finnish Ministry of Forestry and Agriculture,2.0,Yanjie Bian,3
EEA in Gothenburg,2.0,College of Business at Korea Advanced Institute of Science and Technology,1.0,,,Italian Regulatory Authority,2.0,John Engberg,3
Linea di intervento 2,2.0,Ontario Ministry of Research and Innovation and York University,1.0,,,Center of European and Eurasian Studies,2.0,Robert Taylor,3
Social Inequality and Why It Matters for the Economic and Democratic Development of Europe,2.0,IE Business School (Madrid),1.0,,,Lao PDR,2.0,Rogelio Mercado,3
ESSLait,2.0,RAND Institute Seabury,1.0,,,ClimateXChange (for Scottish Government),2.0,Per-Olof Bjuggren,3
Annual Meeting of the IIPF,2.0,Bowling Green State University College of Business Summer Research Award,1.0,,,Education Department,2.0,Alfonso Novales,3
Sao Francisco riverbank in the Caatinga Biome,2.0,Moore School of Business Research Grant Program,1.0,,,Union Army Data,2.0,Anders Rahbek,3
8th FIW conference on International Economics,2.0,Universidade de Brasilia (Brazil),1.0,,,Grant-in-Aid for Japan Society for the Promotion of Science Fellows,2.0,Lutz Depenbusch,3
Third Doctoral Student Forum,2.0,School of Health Sciences,1.0,,,Public Economic Theory Meeting,2.0,Lara Shore-Sheppard,3
"Advances in Applied Macro-Finance and Forecasting""",2.0,Amy Breunig DeGoey Faculty Research Endowed Fund in Management at Baylor University,1.0,,,US Department of Agriculture Hatch Projects Nos,2.0,Aleksandra Gregoric,3
"When Is Social Learning Path-Dependent?""",2.0,"Yeungnam University, Gyeongbuk, South Korea",1.0,,,IIPF 2012 Congress,2.0,Carlos Vegh,3
EuroSystem,2.0,Stanford University Energy Modeling Forum,1.0,,,Gregory C. Chow Econometric Research Program,2.0,Eugenia Andreasen,3
2011 Ronald Coase Institute Chicago workshop,2.0,Amherst,1.0,,,International Committee for Historical Demography,2.0,Ouarda Merrouche,3
2011 Sydney Conference on Quantitative Methods in Finance,2.0,"University of Crete, Rethymno",1.0,,,Key Project of the Ministry of Education of China in Philosophy and Social Sciences,2.0,Guido Cozzi,3
OTKA-101409,2.0,University of Paderborn (Germany,1.0,,,"Japan Society for the Promotion of Science (JSPS), Grant-in-Aid",2.0,Ming Li,3
ACARA,2.0,"IESE Business School, Barcelona",1.0,,,Ministry of Public Health,2.0,Hyejin Ku,3
2015 German Economic Association,2.0,Claudio Haddad Dissertation Fund,1.0,,,Alberta Motor Association - Alberta Innovates Technology Futures (AMA-AITF),2.0,Mikka Rokkanen,3
FEBS 2015,2.0,"Prince Sultan University, Saudi Arabia",1.0,,,Chinese Fundamental Research Funds for Central Universities,2.0,Geoff Mann,3
Econometric Theory lecture at the EC<SUP>2</SUP,2.0,Institute for Statistics and Mathematics of the Vienna University of Economics and Business,1.0,,,Max-Planck-Society,2.0,Hiroaki Mori,3
Columbia Economic History Seminar,2.0,Humboldt University of Berlin CASE-QPL Distinguished Lecture Series,1.0,,,World Bank Gender Trust Fund and Knowledge for Change Program,2.0,Jun Wang,3
2016 Riksbank Macroprudential Conference,2.0,Oxford Department of International Development,1.0,,,Walker Family Foundation,2.0,Paul Aandahl,3
INET research program on Financial Stability,2.0,Delmar Lienemann Sr. Chair in Accounting at the University of Nebraska-Lincoln,1.0,,,Israeli Electricity Administration,2.0,Leonardo Gambacorta,3
Academy of International Business (South East Chapter) 2015,2.0,Texas A&M Univ.,1.0,,,Intellectual Theme Initiative,2.0,Xie,3
CARB Agreement,2.0,Western Sydney University School of Business Professional Development Funding 2018,1.0,,,"Center for Research in Ecology, Conservation and Potential Use of Biological Resources in the Semi-Arid Region of Northeastern",2.0,Ruth Aguilera,3
CSAE Annual Conference in Oxford,2.0,Early Career Summer Support Program at Cal Poly Pomona,1.0,,,National Cooperative Highway Research Program,2.0,Ana Nuevo-Chiquero,3
XLIII Reunion de Estudios Regionales,2.0,Loyola University,1.0,,,Innovation Growth Lab,2.0,Xiao Lin,3
April 2013 AFRE/MSU seminar,2.0,NYU WESSI,1.0,,,Observatori del Deute en la Globalitzacio),2.0,Malam Mai Adji,3
2017 Stockholm Environment Institute,2.0,"Universities of Oulu, Jyvaskyla",1.0,,,Ecosystem Services for Poverty Alleviation Programme (ESPA),2.0,Paul Slovic,3
2016 NBER TAPES Conference in Mannheim,2.0,US Naval War College,1.0,,,Global Technology Strategy Project (GTSP),2.0,Stefanie Nave,3
UC Berkeley Innovation Workshop,2.0,Davis Temporary Migration Cluster,1.0,,,European COST,2.0,Hoi,3
GEMINA project,2.0,UCSD Rady School,1.0,,,Wharton School's Pension Research Council,2.0,Jorge de la Roca,3
Technical Advisory Group,2.0,"York University, Canada",1.0,,,"Foundation for International Studies on Social Security (2015), Hong Kong, China",2.0,J. Edward Taylor,3
Richmond Fed Regional Workshop,2.0,Monash University (Department of Management),1.0,,,British Academy International Partnership and Mobility Award,2.0,Victoria Vernon,3
"Chinese General Social Survey (CGSS)""",2.0,Institute of Accounting and Finance at Shanghai University of Finance and Economics,1.0,,,ISCH COST Action,2.0,Holger Seebens,3
College of Asia and the Pacific,2.0,"Universite de Paris 1 Pantheon-Sorbonne, France",1.0,,,Andronico Luksic Grants program,2.0,Angel Lopez,3
Joint Annual Meeting of the Slovak Economic Association,2.0,Joint Health Institute,1.0,,,Searle Freedom Trust,2.0,G. Gereffi,3
"Observatory for European Forests in Nancy, France",2.0,Taylor's University World Fellowship Scholarship,1.0,,,Air-Water-Gas Sustainability Research Network,2.0,Davin Chor,3
3rd Financial History Workshop (Tilburg),2.0,German Institute for Economic Research in Washington (DIWDC),1.0,,,Banque de France seminar,2.0,Andrea Beltratti,3
CVOTER in India,2.0,California State Northridge,1.0,,,Society for Experimental Biology (SEB),2.0,Catherine Dehon,3
AERC PhD Fellowship 2015,2.0,Centre for Urban and Regional Development Studies,1.0,,,BC3 Maria de Maeztu,2.0,Gaglianone,3
T-Mobile,2.0,Institute for Mathematical Economics,1.0,,,Thematic Fellowship Programme of the Hong Kong Institute for Monetary Research (HKIMR),2.0,Geoff Brooke,3
Health Economics Research Centre seminar in Oxford,2.0,University of Tasmania Social Science Human Research Ethics Committee,1.0,,,WLSME trust fund,2.0,Kolo Katiela,3
5th ICEEE Conference in Genoa,2.0,Federal University of Rio Grande,1.0,,,Norwegian Radiation Protection Authority (NRPA),2.0,Jonathan Klick,3
ESMT,2.0,Universidad Politecnica de Valencia-Vicerrectorado de Investigacion,1.0,,,Open Research Area project on Behavioral and Experimental Analyses in Macro-finance (BEAM),2.0,Roberto Scazzieri,3
European Finance Association (Copenhagen),2.0,D'Amore-McKim School of Business,1.0,,,Cluster of Excellence The Future Ocean,2.0,Genakos,3
Metacommuniities of Code,2.0,Ceske Budejovice,1.0,,,2018 Key Project of the Key Research Institute of Humanities and Social Sciences in Sichuan Province,2.0,Alberto Trejos,3
Realigning Agriculture to Improve Nutrition (RAIN),2.0,Cambridge-UC Berkeley-National University of Singapore University Alliance,1.0,,,Guizhou Province,2.0,Luis Ayala,3
2014 Design and Behavior workshop in Dallas,2.0,Cambridge Trusts,1.0,,,NASA LaRC POWER Project,2.0,Jeff Nugent,3
2012 NBER Corporate Finance Program Meeting,2.0,"academic unit Alta Direccion of Universidad EAFIT (Medellon, Colombia",1.0,,,French ANR Project DISPLEXITY,2.0,Karthik Krishnan,3
UWA Workshop on the Chinese Economy,2.0,SSSI Bonn,1.0,,,Ninti One,2.0,Emanuel Castillo,3
CESS/CREED Student Conference,2.0,Institute of Coaching,1.0,,,Radulovacki Research Funds,2.0,Jens Hilscher,3
9th Annual Conference of the Asia-Pacific Management Accounting Association,2.0,Self-supporting Project of Institute of World Economy,1.0,,,HSU Hamburg,2.0,Zenae Scott,3
Climate Change Adaptation: An Integrative Approach of Development and Climate Change Interventions in Nepal and Mongolia,2.0,"Universite Laval, Quebec, Canada",1.0,,,GlasgowCentre for Population Health (GCPH),2.0,Juan Dubra,3
Step-by-Step - How to Progress in International Climate Change,2.0,Development and Security Seminar at DIW Berlin,1.0,,,3E Group of IRTSTHN,2.0,Kris Nimark,3
"AUEB -New Methods in the Analysis of Market Competition: Oligopoly, Networks and Regulation",2.0,"University of Toulon, France",1.0,,,Turkish Capital Markets Board Intermediaries Association,2.0,Serra Boranbay,3
How Aggressive are Foreign Multinational Companies in Reducing Their Corporation Tax Liability,2.0,UCLA Clinical and Translational Science Institute (CTSI),1.0,,,OeNB,2.0,Jean Charles Hourcade,3
EEA 2014 meeting in Toulouse,2.0,Daniel B. Warnell School of Forestry and Natural Resources,1.0,,,"National Academies of Sciences, Engineering, and Medicine",2.0,Gershkov,3
1851 World Fair,2.0,University of Zurich Forschungskredit,1.0,,,"Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB) of the Federal Republic of Germany",2.0,Alyssa Schneebaum,3
CFE Conference at University of London,2.0,Focused Innovations Scheme of the Chinese University of Hong Kong,1.0,,,MaREI Centre,2.0,Anke Schaffartzik,3
2016 FIRS,2.0,"LMU-ifo Economics & Business Data Center, Munich/Germany",1.0,,,FIR projec,2.0,Liu Liping,3
CEAR/MRIC Behavioral Insurance Workshop in Munich,2.0,FCB Institute of Decision Making,1.0,,,"European Commission, Directorate-General Energy",2.0,Marta Serra-Garcia,3
SFIVET Congress 2015,2.0,GEZKI (Institute of Cooperative Law and Social Economy),1.0,,,United Nations World Tourism Organization,2.0,Abraham Neyman,3
"70th Annual Congress of IIPF in Lugano, Switzerland",2.0,Office of Research and Graduate Studies,1.0,,,ACATIS,2.0,Elaine Mauldin,3
"ACFR Derivatives Market Conference (Auckland, 2016",2.0,municipality of Athens,1.0,,,Flemish Methusalem Programme,2.0,Bernd Schwaab,3
2013 Berkeley Bioeconomy Conference,2.0,Center for International Science and Technology Policy,1.0,,,International Centre for Infrastructure Futures grant,2.0,Chung-Piaw Teo,3
Fisher-Schultz Lecture,2.0,Journal of Business Research,1.0,,,LSE STICERD,2.0,Thomas Moutos,3
Stevanovich Center in Chicago,2.0,City University of Hong Kong Shen Zhen Research Institute,1.0,,,Innovative Agricultural Research Initiative (iAGRI),2.0,Cameron Truong,3
Computing in Economics and Finance conference CEF2012 (Prague),2.0,Visiting Professor Program - University di Sassari,1.0,,,la Probabilita e le loro Applicazioni (GNAMPA) of the Istituto Nazionale di Alta Matematica (INdAM),2.0,Maria Navarro Paniagua,3
XXIV En-cuentro de Economia Publica at Toledo,2.0,Econometrics Seminar of Concordia University,1.0,,,Social Science Planning Fund of Ministry of Education of China,2.0,Guido Maretto,3
Voting for Direct Democracy,2.0,Krannert School of Management Organizational Behavior and Human Resources,1.0,,,FRQSC Team Research Grant,2.0,Gregory Drive,3
VATT Helsinki,2.0,Academy of Finland for TRIPOD,1.0,,,Foreign and Commonwealth Office Prosperity Fund,2.0,Leo Ferraris,3
Young Minds Matter,2.0,University of Oklahoma 10.13039/100007926 Robberson Research & Creative Endeavors Grant,1.0,,,GREEN TECH WB project,2.0,Xuesong Zhang,3
JIM,2.0,Academy of Accounting Historians,1.0,,,"ARC Future Fellowship, Australia grant",2.0,Andrew Burton-Jones,3
FELLS,2.0,Humanities Center Resident Scholars Program,1.0,,,Stiftelsen Partnerskapet,2.0,Sidney Gray,3
Northern Finance Association Meetings (Mont-Tremblant),2.0,Stanford University Hoover Institution,1.0,,,NCI,2.0,Tammy Leonard,3
"XX Finance Forum, Oviedo (Spain)",2.0,Joint Lab of Data Science and Business Intelligence at SWUFE,1.0,,,Social Science Foundation of Liaoning province,2.0,Andrew McCallum,3
"NBERWorkshop on Scholarly Communication, Open Science",2.0,University of Melbourne McKenzie Post Doctoral Fellowship Scheme,1.0,,,Grant Agency Czech Republic,2.0,Michael Firms,3
ES European Summer Meeting 2017,2.0,Strategic Research Development Fund of the University of Southampton,1.0,,,Ivie,2.0,Chiara Pancotti,3
Impact Acceleration Funding,2.0,Stephen F. Austin State University,1.0,,,National Science Foundation for Post-doctoral Scientists of China,2.0,Mike Pfarrer,3
ITSG meeting in Cagliari,2.0,IIES,1.0,,,South Korean government (Ministry of Science and ICT,2.0,Florian Strum,3
All-UC meeting,2.0,Alfred Deakin Postdoctoral Research Fellowship,1.0,,,USDA-ERS Cooperative,2.0,Evan Riehl,3
"8th European Meeting on Applied Evolutionary Economics (EMAEE), Nice",2.0,"Alfaisal University, Riyadh, Saudi Arabia",1.0,,,Australia Indonesia Partnership for Economic Governance (AIPEG),2.0,Jonah Busch,3
Empirical Analysis of Trade Policy Preferences at the Individual Level in Japan,2.0,"Dow Professor of Sustainable Science, Technology and Commerce",1.0,,,AMA CRSP Program,2.0,Michelle Hummel,3
"10th IZA/World Bank conference on Technological Change and Jobs (Bonn, Germany",2.0,Workshop on Incentives and Behavior Change at the University of Amsterdam,1.0,,,ONEMA (France),2.0,Driss Ezzine-de-Blas,3
DEGIT in Saint Petersburg,2.0,International Laboratory of Intangible-driven Economy (ID Lab,1.0,,,7.FP,2.0,Matthieu Bouvard,3
CINVE,2.0,Zhejiang Yuexi University of Foreign Languages,1.0,,,ADAPT-CATMILK,2.0,Hyland,3
"European Resource and Environmental Economics Meetings, Statistics Norway",2.0,"University of Rzeszow, Poland",1.0,,,FAPESP - Brazil,2.0,Laura Carraresi,3
5th Shanghai Microeconomics Workshop,2.0,Lecturer of Information Management,1.0,,,Chinese National Social Science Grant,2.0,Vladimir Gel'man,3
2nd Entrepreneurial Finance Conference,2.0,Chicago Research Data Center,1.0,,,"Direction generale des infrastructures, des transports et de la mer (DGITM)",2.0,Katsuhito Iwai,3
CRESSE Corfu,2.0,Startup Research Fund of College of Environmental Science and Engineering at Peking University,1.0,,,"Australian Health Ministers' Advisory Council (AHMAC), Department of Health",2.0,Mike Mitchell,3
UT Dallas Spring Finance Conference,2.0,University of Miami James W,1.0,,,CONICYT/FONDECYT,2.0,Susan Woodward,3
Interdisciplinary Conference on the Transatlantic Trade and Investment Partnership in Gothenburg,2.0,Belief Based Utility,1.0,,,Maison des Sciences Economiques,2.0,Yubing Fan,3
