text,abbreviation,full
Health of Populations and Ecosystems,HOPE,Health of Populations and Ecosystems (HOPE)
Hamburg Port Authority,HPA,Hamburg Port Authority (HPA)
High Performance Computing Centre North,HPC2N,High Performance Computing Centre North (HPC2N)
High Performance Computing Centre,HPCC,High Performance Computing Centre (HPCC)
High Performance Computing Facility,HPCF,High Performance Computing Facility (HPCF)
High Performance Computing Research Center,HPCRC,High Performance Computing Research Center (HPCRC)
Health Profession Opportunity Grants,HPOG,Health Profession Opportunity Grants (HPOG)
HIV Prevention Trials Network,HPTN,HIV Prevention Trials Network (HPTN)
Healthcare Quality Improvement Partnership,HQIP,Healthcare Quality Improvement Partnership (HQIP)
Health Research Board,HRB,Health Research Board (HRB)
Health Research Capacity Strengthening Initiative,HRCSI,Health Research Capacity Strengthening Initiative (HRCSI)
Human Research Ethics Office,HREO,Human Research Ethics Office (HREO)
KAIST High Risk High Return Project,HRHRP,KAIST High Risk High Return Project (HRHRP)
Health Results Innovation Trust Fund,HRITF,Health Results Innovation Trust Fund (HRITF)
AFRL Human Research Protections Office,HRPO,AFRL Human Research Protections Office (HRPO)
Health and Retirement Study,HRS,Health and Retirement Study (HRS)
Health and Social Care Volunteering Fund,HSCVF,Health and Social Care Volunteering Fund (HSCVF)
UK Health and Safety Executive,HSE,UK Health and Safety Executive (HSE)
Huinay Scientific Field Station,HSFS,Huinay Scientific Field Station (HSFS)
Humanities and Social Sciences,HSS,Humanities and Social Sciences (HSS)
Hightech Urban Development Program,HUDP,Hightech Urban Development Program (HUDP)
Holsworth Wildlife Research Endowment,HWRE,Holsworth Wildlife Research Endowment (HWRE)
Hybrid Coordinate Ocean Model,HYCOM,Hybrid Coordinate Ocean Model (HYCOM)
 Hybrid SingleParticle Lagrangian Integrated Trajectory,HYSPLIT, Hybrid SingleParticle Lagrangian Integrated Trajectory (HYSPLIT)
HelmholtzZentrum Geesthacht,HZG,HelmholtzZentrum Geesthacht (HZG)
Innovation Action,IA,Innovation Action (IA)
International Association for Accounting Education and Research,IAAER,International Association for Accounting Education and Research (IAAER)
Industry Advisory Board,IAB,Industry Advisory Board (IAB)
International Association for Business and Society,IABS,International Association for Business and Society (IABS)
International Association for Computing and Philosophy,IACAP,International Association for Computing and Philosophy (IACAP)
International Association for China Planning,IACP,International Association for China Planning (IACP)
NSERC Integrating Atmospheric Chemistry and Physics from Earth to Space,IACPES,NSERC Integrating Atmospheric Chemistry and Physics from Earth to Space (IACPES)
International Association of Classification Societies,IACS,International Association of Classification Societies (IACS)
International Association for Energy Economics,IAEE,International Association for Energy Economics (IAEE)
Irish Accounting and Finance Association,IAFA,Irish Accounting and Finance Association (IAFA)
IndonesiaAustralia Forest Carbon Partnership,IAFCP,IndonesiaAustralia Forest Carbon Partnership (IAFCP)
4th International Accounting  Finance Doctoral Symposium,IAFDS,4th International Accounting  Finance Doctoral Symposium (IAFDS)
International Association for Feminist Economics,IAFFE,International Association for Feminist Economics (IAFFE)
International Association of Geodesy,IAG,International Association of Geodesy (IAG)
Integrative Analysis of Longitudinal Studies of Aging,IALSA,Integrative Analysis of Longitudinal Studies of Aging (IALSA)
International Association of Maritime Economists,IAME,International Association of Maritime Economists (IAME)
International Arctic Research Center,IARC,International Arctic Research Center (IARC)
International Alliance for Responsible Drinking,IARD,International Alliance for Responsible Drinking (IARD)
International Association of Railway Operations Research,IAROR,International Association of Railway Operations Research (IAROR)
International AIDS Society,IAS,International AIDS Society (IAS)
Institute for Advanced Studies in Basic Sciences,IASBS,Institute for Advanced Studies in Basic Sciences (IASBS)
International Arctic Science Committee,IASC,International Arctic Science Committee (IASC)
International Association of Schools of Social Work,IASSW,International Association of Schools of Social Work (IASSW)
International Association for Time Use Research,IATUR,International Association for Time Use Research (IATUR)
International AIDS Vaccine Initiative,IAVI,International AIDS Vaccine Initiative (IAVI)
Italian Business Angels Network Association,IBAN,Italian Business Angels Network Association (IBAN)
International Breast Cancer Study Group,IBCSG,International Breast Cancer Study Group (IBCSG)
International Banking Economics and Finance Association,IBEFA,International Banking Economics and Finance Association (IBEFA)
Institute of Biomedical  Environmental Health Research,IBEHR,Institute of Biomedical  Environmental Health Research (IBEHR)
Indiana Beef Evaluation Program,IBEP,Indiana Beef Evaluation Program (IBEP)
Insurance Institute for Business and Home Safety,IBHS,Insurance Institute for Business and Home Safety (IBHS)
Incorporation Biologique et Inegalites Sociales de Sante,IBISS,Incorporation Biologique et Inegalites Sociales de Sante (IBISS)
Institutionbased Research,IBR,Institutionbased Research (IBR)
International Bank for Reconstruction and Development,IBRD,International Bank for Reconstruction and Development (IBRD)
Southeastern Partnership for Integrated Biomass Supply Systems,IBSS,Southeastern Partnership for Integrated Biomass Supply Systems (IBSS)
International Copper Association,ICA,International Copper Association (ICA)
Institutes of Chartered Accountants of Alberta,ICAA,Institutes of Chartered Accountants of Alberta (ICAA)
International Conference of Agricultural Economists,ICAE,International Conference of Agricultural Economists (ICAE)
International Colloquium on Automata Languages and Programming,ICALP,International Colloquium on Automata Languages and Programming (ICALP)
Indian Council of Agricultural Research,ICAR,Indian Council of Agricultural Research (ICAR)
International Center for Agricultural and Rural Development,ICARD,International Center for Agricultural and Rural Development (ICARD)
Initiative on Climate Adaptation Research and Understanding through the Social Sciences,ICARUS,Initiative on Climate Adaptation Research and Understanding through the Social Sciences (ICARUS)
Indonesian Center for Agricultural Socio Economic and Policy Studies,ICASEPS,Indonesian Center for Agricultural Socio Economic and Policy Studies (ICASEPS)
Indonesian Centre for Agricultural Socio Economic and Policy Studies,ICASPES,Indonesian Centre for Agricultural Socio Economic and Policy Studies (ICASPES)
Insurance Corporation of British Columbia,ICBC,Insurance Corporation of British Columbia (ICBC)
International Cricket Council,ICC,International Cricket Council (ICC)
27th International Congress for Conservation Biology,ICCB,27th International Congress for Conservation Biology (ICCB)
International Center for Climate Governance,ICCG,International Center for Climate Governance (ICCG)
International Continental Scientific Drilling Program,ICDP,International Continental Scientific Drilling Program (ICDP)
International Centre for Education Marine and Atmospheric Sciences over Africa,ICEMASA,International Centre for Education Marine and Atmospheric Sciences over Africa (ICEMASA)
International Centre for Economic Research,ICER,International Centre for Economic Research (ICER)
NASA Impacts of Climate Change on the Ecosystems and Chemistry of the Arctic Pacific Environment,ICESCAPE,NASA Impacts of Climate Change on the Ecosystems and Chemistry of the Arctic Pacific Environment (ICESCAPE)
International Centre for Geohazards,ICG,International Centre for Geohazards (ICG)
International Centre for Global Earth Models,ICGEM,International Centre for Global Earth Models (ICGEM)
International Center for Child Health and Development,ICHAD,International Center for Child Health and Development (ICHAD)
2014 IEEE International Conference on Image Processing,ICIP,2014 IEEE International Conference on Image Processing (ICIP)
International Centre of Insect Physiology and Ecology,ICIPE,International Centre of Insect Physiology and Ecology (ICIPE)
International Collaboration Incentive Scheme,ICIS,International Collaboration Incentive Scheme (ICIS)
RAND Institute for Civil Justice,ICJ,RAND Institute for Civil Justice (ICJ)
Swedish International Centre for Local Democracy,ICLD,Swedish International Centre for Local Democracy (ICLD)
Indiana Consortium for Mental Health Services Research,ICMHSR,Indiana Consortium for Mental Health Services Research (ICMHSR)
International Committee for Medical Journal Editors,ICMJE,International Committee for Medical Journal Editors (ICMJE)
International Centre for Mathematical Sciences,ICMS,International Centre for Mathematical Sciences (ICMS)
Instituto de Ciencias del Mar y Limnologia,ICMyL,Instituto de Ciencias del Mar y Limnologia (ICMyL)
International Center for NotforProfit Law,ICNL,International Center for NotforProfit Law (ICNL)
IEEE International Conference on Network Protocols,ICNP,IEEE International Conference on Network Protocols (ICNP)
Integrated Control of Neglected Zoonoses,ICONZ,Integrated Control of Neglected Zoonoses (ICONZ)
Indian Coastal Ocean Radar Network,ICORN,Indian Coastal Ocean Radar Network (ICORN)
Interdisciplinary Committee on Organizational Studies,ICOS,Interdisciplinary Committee on Organizational Studies (ICOS)
Improving Care of Vulnerable Elders,ICOVE,Improving Care of Vulnerable Elders (ICOVE)
International Cable Protection Committee,ICPC,International Cable Protection Committee (ICPC)
Interuniversity Consortium for Political and Social Research,ICPSR,Interuniversity Consortium for Political and Social Research (ICPSR)
Blavatnik Interdisciplinary Cyber Research Center,ICRC,Blavatnik Interdisciplinary Cyber Research Center (ICRC)
International Centre for Reproductive Health,ICRH,International Centre for Reproductive Health (ICRH)
International Centre for Research in Organic Food Systems,ICROFS,International Centre for Research in Organic Food Systems (ICROFS)
International Center for Research on Women,ICRW,International Center for Research on Women (ICRW)
Institutional Capacity Strengthening Fund,ICSF,Institutional Capacity Strengthening Fund (ICSF)
Indian Council of Social Science Research,ICSSR,Indian Council of Social Science Research (ICSSR)
International Centre for Theoretical Physics,ICTP,International Centre for Theoretical Physics (ICTP)
ICT Policy Support Programme,ICTPSP,ICT Policy Support Programme (ICTPSP)
Israeli Center for Thirdsector Research,ICTR,Israeli Center for Thirdsector Research (ICTR)
Intellectual and Developmental Disabilities Research Centers,IDDRC,Intellectual and Developmental Disabilities Research Centers (IDDRC)
Institutional Development Award,IDeA,Institutional Development Award (IDeA)
Interoperable Design of Extremescale Application Software,IDEAS,Interoperable Design of Extremescale Application Software (IDEAS)
IC Design Education Center,IDEC,IC Design Education Center (IDEC)
Instrument Development Group,IDG,Instrument Development Group (IDG)
Indian Digital Heritage,IDH,Indian Digital Heritage (IDH)
International Doctoral Innovation Centre,IDIC,International Doctoral Innovation Centre (IDIC)
Illinois Department of Natural Resources,IDNR,Illinois Department of Natural Resources (IDNR)
Illinois Department of Transportation,IDOT,Illinois Department of Transportation (IDOT)
IDRC Doctoral Research Awards,IDRA,IDRC Doctoral Research Awards (IDRA)
Illinois Division of Rehabilitation Services,IDRS,Illinois Division of Rehabilitation Services (IDRS)
Instituto de Desenvolvimento Sustentavel Mamiraua,IDSM,Instituto de Desenvolvimento Sustentavel Mamiraua (IDSM)
Integrated Enterprise Balancing,IEB,Integrated Enterprise Balancing (IEB)
Innovation Environnement Developpement,IED,Innovation Environnement Developpement (IED)
Indiana Economic Development Corporation,IEDC,Indiana Economic Development Corporation (IEDC)
International epidemiologic Databases to Evaluate AIDS,IeDEA,International epidemiologic Databases to Evaluate AIDS (IeDEA)
Independent Evaluation Group,IEG,Independent Evaluation Group (IEG)
Intensive English Program,IEP,Intensive English Program (IEP)
International Finance  Banking Society,IFABS,International Finance  Banking Society (IFABS)
International Fund for Agricultural Development,IFAD,International Fund for Agricultural Development (IFAD)
International Finance Corporation,IFC,International Finance Corporation (IFC)
Instituto Federal do Ceara,IFCE,Instituto Federal do Ceara (IFCE)
IndoFrench Centre for Promotion of Advance Research,IFCPAR,IndoFrench Centre for Promotion of Advance Research (IFCPAR)
International Foundation for Research in Experimental Economics,IFREE,International Foundation for Research in Experimental Economics (IFREE)
Institute for Research and Innovation in Society,IFRIS,Institute for Research and Innovation in Society (IFRIS)
Integrative Graduate Education and Research Traineeship,IGERT,Integrative Graduate Education and Research Traineeship (IGERT)
Instituto Geofisico del Peru,IGP,Instituto Geofisico del Peru (IGP)
Indian Gold Policy Centre,IGPC,Indian Gold Policy Centre (IGPC)
International Graduate Research Fellowship,IGRF,International Graduate Research Fellowship (IGRF)
International GNSS Service,IGS,International GNSS Service (IGS)
Integrated Global System Model,IGSM,Integrated Global System Model (IGSM)
Indigenous Health Adaptation to Climate Change,IHACC,Indigenous Health Adaptation to Climate Change (IHACC)
International Healthcare Research Center,IHRC,International Healthcare Research Center (IHRC)
Indian Health Service,IHS,Indian Health Service (IHS)
Institute for Health and Social Policy,IHSP,Institute for Health and Social Policy (IHSP)
Independent Institute  Administration Civil Society Studies,IIACSS,Independent Institute  Administration Civil Society Studies (IIACSS)
International Institute of Fisheries Economics and Trade,IIFET,International Institute of Fisheries Economics and Trade (IIFET)
Institute for Information Industry,III,Institute for Information Industry (III)
Investment Industry Regulatory Organization of Canada,IIROC,Investment Industry Regulatory Organization of Canada (IIROC)
International Institute for Sustainable Development,IISD,International Institute for Sustainable Development (IISD)
Center of Excellence in Intelligent Informatics and Service Innovation,IISI,Center of Excellence in Intelligent Informatics and Service Innovation (IISI)
International Institute of Tropical Agriculture,IITA,International Institute of Tropical Agriculture (IITA)
International Labour Organization,ILO,International Labour Organization (ILO)
International Laser Ranging Service,ILRS,International Laser Ranging Service (ILRS)
Vietnams Institute of Labour Science and Social Affairs,ILSSA,Vietnams Institute of Labour Science and Social Affairs (ILSSA)
International Lead Zinc Research Organization,ILZRO,International Lead Zinc Research Organization (ILZRO)
Intendencia de Montevideo,IM,Intendencia de Montevideo (IM)
Indian Medical Association,IMA,Indian Medical Association (IMA)
Institute on Medicine as a Profession,IMAP,Institute on Medicine as a Profession (IMAP)
Integrated Marine Biosphere Research,IMBeR,Integrated Marine Biosphere Research (IMBeR)
Indian Meteorological Department,IMD,Indian Meteorological Department (IMD)
International Marine  Dredging Consultants,IMDC,International Marine  Dredging Consultants (IMDC)
ZonMw Innovative Medical Devices Initiative,IMDI,ZonMw Innovative Medical Devices Initiative (IMDI)
International Meeting on Experimental and Behavioral Economics,IMEBE,International Meeting on Experimental and Behavioral Economics (IMEBE)
2016 International Meeting on Experimental and Behavioral Social Sciences,IMEBESS,2016 International Meeting on Experimental and Behavioral Social Sciences (IMEBESS)
IFPRI Mobile Experimental Economics Laboratory,IMEEL,IFPRI Mobile Experimental Economics Laboratory (IMEEL)
International Monetary Fund,IMF,International Monetary Fund (IMF)
Internes Messnetz Kuste,IMK,Internes Messnetz Kuste (IMK)
Instituto Milenio de Oceanografia,IMO,Instituto Milenio de Oceanografia (IMO)
IndoGerman Max Planck Center for Computer Science,IMPECS,IndoGerman Max Planck Center for Computer Science (IMPECS)
International Macquarie Research Excellence Scholarship,IMQRES,International Macquarie Research Excellence Scholarship (IMQRES)
Director of Institute for Medical Research,IMR,Director of Institute for Medical Research (IMR)
International Master of Science in Rural Development,IMRD,International Master of Science in Rural Development (IMRD)
Instituto Mexicano del Seguro Social,IMSS,Instituto Mexicano del Seguro Social (IMSS)
Indian National Academy of Engineering,INAE,Indian National Academy of Engineering (INAE)
Idea Networks of Biomedical Research Excellence,INBRE,Idea Networks of Biomedical Research Excellence (INBRE)
International Network for Comparative Analysis of Social Inequalities,INCASI,International Network for Comparative Analysis of Social Inequalities (INCASI)
DOESC Innovative and Novel Computational Impact on Theory and Experiment,INCITE,DOESC Innovative and Novel Computational Impact on Theory and Experiment (INCITE)
 Istituto Nazionale di Alta Matematica,INdAM, Istituto Nazionale di Alta Matematica (INdAM)
Istituto Nazionale di Economia Agraria,INEA,Istituto Nazionale di Economia Agraria (INEA)
Instituto Nacional de Ecologia y Cambio Climatic,INECC,National Institute of Ecology and Climate Change (INECC)
National Institute of Ecology and Climate Change,INECC,National Institute of Ecology and Climate Change (INECC)
Irans National Elites Foundation,INEF,Irans National Elites Foundation (INEF)
International Network for Economic Research,INFER,International Network for Economic Research (INFER)
Istituto Nazionale di Fisica Nucleare,INFN,Istituto Nazionale di Fisica Nucleare (INFN)
National Institute of Geophysics and Volcanology,INGV,National Institute of Geophysics and Volcanology (INGV)
Istituto Nazionale di Geofisica e Vulcanologia,INGV,National Institute of Geophysics and Volcanology (INGV)
Iranian National Institute for Oceanography and Atmospheric Science,INIO,Iranian National Institute for Oceanography and Atmospheric Science (INIO)
Iranian National Institute for Oceanography and Atmospheric Science,INIOAS,Iranian National Institute for Oceanography and Atmospheric Science (INIOAS)
Integrated Network for Interdisciplinary Research,INIR,Integrated Network for Interdisciplinary Research (INIR)
Idaho National Laboratory,INL,Idaho National Laboratory (INL)
Institute of Neurosciences Mental Health and Addictions,INMHA,Institute of Neurosciences Mental Health and Addictions (INMHA)
Innovative NOrth Pacific EXperiment,INOPEX,Innovative NOrth Pacific EXperiment (INOPEX)
International Network for Offshore Renewable Energy,INORE,International Network for Offshore Renewable Energy (INORE)
Instituto Nacional de Pesquisas Espaciais,INPE,Brazilian National Institute for Space Research (INPE)
Brazilian National Institute for Space Research,INPE,Brazilian National Institute for Space Research (INPE)
Italian Istituto Nazionale della Previdenza Sociale,INPS,Italian Istituto Nazionale della Previdenza Sociale (INPS)
French National Institute of Agricultural Research,INRA,French National Institute of Agricultural Research (INRA)
Institut National de la Recherche Agronomique,INRA,French National Institute of Agricultural Research (INRA)
Interdisciplinary Research and Education Fund,INREF,Interdisciplinary Research and Education Fund (INREF)
French National Institute of Health and Medical Research,INSERM,French National Institute of Health and Medical Research (INSERM)
Institut National de la Sante et de la Recherche Medicale,INSERM,French National Institute of Health and Medical Research (INSERM)
Innovative Curriculum for Strong Identities in Diverse Europe,INSIDE,Innovative Curriculum for Strong Identities in Diverse Europe (INSIDE)
Instituto Nacional de Salud Publica,INSP,Instituto Nacional de Salud Publica (INSP)
International Science and Technology Practice and Policy,InSTePP,International Science and Technology Practice and Policy (InSTePP)
Israeli National Transplant Center,INTC,Israeli National Transplant Center (INTC)
International Trade Union Congress,INTUC,International Trade Union Congress (INTUC)
India New Zealand Education Council,INZEC,India New Zealand Education Council (INZEC)
International Ocean Carbon Coordination Project,IOCCP,International Ocean Carbon Coordination Project (IOCCP)
International Order of the Daughters of the Empire,IODE,International Order of the Daughters of the Empire (IODE)
International Association of Oil  Gas Producers,IOGP,International Association of Oil  Gas Producers (IOGP)
Department of Information Operations and Management Sciences,IOMS,Department of Information Operations and Management Sciences (IOMS)
Institution of Occupational Safety and Health,IOSH,Institution of Occupational Safety and Health (IOSH)
International Policy and Development,IPAD,International Policy and Development (IPAD)
International Psoriasis Council,IPC,International Psoriasis Council (IPC)
International Patient Decision Aid Standards,IPDAS,International Patient Decision Aid Standards (IPDAS)
International Pacific Research Center,IPRC,International Pacific Research Center (IPRC)
Institute for the Promotion of Teaching Science and Technology,IPST,Institute for the Promotion of Teaching Science and Technology (IPST)
International Postgraduate Studies in Water Technologies,IPSWaT,International Postgraduate Studies in Water Technologies (IPSWaT)
Initiative for Regulation and Applied Economic Analysis,IRAEA,Initiative for Regulation and Applied Economic Analysis (IRAEA)
Irish Research Council for Humanities and Social Sciences,IRCHSS,Irish Research Council for Humanities and Social Sciences (IRCHSS)
Irish Research Council for the Social Sciences and Humanities,IRCHSS,Irish Research Council for Humanities and Social Sciences (IRCHSS)
Irish Research Council for Silence Education and Technology,IRCSET,Irish Research Council for Science Engineering and Technology (IRCSET)
Irish Research Council for Science Engineering and Technology,IRCSET,Irish Research Council for Science Engineering and Technology (IRCSET)
Institut de Recherche pour le Developement,IRD,French Institute for a Sustainable Development (IRD)
Institut de Recherche Scientifique pour le Developpement en Cooperation,IRD,French Institute for a Sustainable Development (IRD)
French Institute for a Sustainable Development,IRD,French Institute for a Sustainable Development (IRD)
French Institute of Research for Development,IRD,French Institute for a Sustainable Development (IRD)
Industrial Research  Development Fellowship,IRDF,Industrial Research  Development Fellowship (IRDF)
International Real Estate Business School,IREBS,International Real Estate Business School (IREBS)
Institute for Research in Economic and Fiscal Issues,IREF,Institute for Research in Economic and Fiscal Issues (IREF)
International Research Experiences for Students,IRES,International Research Experiences for Students (IRES)
Institut de Recherche en Sante Publique,IRESP,French Institute of Public Health Research (IRESP)
French Institute of Public Health Research,IRESP,French Institute of Public Health Research (IRESP)
Icelandic Research Fund,IRF,Icelandic Research Fund (IRF)
Markussen the Independent Research Fund Denmark,IRFD,Markussen the Independent Research Fund Denmark (IRFD)
International Research Fellowship,IRFP,International Research Fellowship (IRFP)
Insurance Risk and Finance Research Centre,IRFRC,Insurance Risk and Finance Research Centre (IRFRC)
International Research Initiative on Adaptation to Climate Change,IRIACC,International Research Initiative on Adaptation to Climate Change (IRIACC)
International Research Institute of Disaster Science,IRIDeS,International Research Institute of Disaster Science (IRIDeS)
Incorporated Research Institutions for Seismology,IRIS,Incorporated Research Institutions for Seismology (IRIS)
Image Retrieval in Medical Application,IRMA,Image Retrieval in Medical Application (IRMA)
Iranian Research Organization for Science and Technology,IROST,Iranian Research Organization for Science and Technology (IROST)
Intensified Research Grant for Priority Area,IRPA,Intensified Research Grant for Priority Area (IRPA)
International Research Partnership Grant,IRPG,International Research Partnership Grant (IRPG)
Internal Revenue Service,IRS,Internal Revenue Service (IRS)
International Research Support Initiative Program,IRSIP,International Research Support Initiative Program (IRSIP)
International Research Society for Public Management,IRSPM,International Research Society for Public Management (IRSPM)
International Research Training Group,IRTG,International Research Training Group (IRTG)
Intelligent Systems and Assistive Technologies,ISAT,Intelligent Systems and Assistive Technologies (ISAT)
Institute for Society Culture and Environment,ISCE,Institute for Society Culture and Environment (ISCE)
Third International Symposium in Computational Economics and Finance,ISCEF,Third International Symposium in Computational Economics and Finance (ISCEF)
Industry Strategic Challenge Fund,ISCF,Industry Strategic Challenge Fund (ISCF)
International Study of Childhood Obesity Lifestyle and Environment,ISCOLE,International Study of Childhood Obesity Lifestyle and Environment (ISCOLE)
Iowa Space Grant Consortium,ISGC,Iowa Space Grant Consortium (ISGC)
International Society for Gesture Studies,ISGS,International Society for Gesture Studies (ISGS)
Information Society Innovation Fund,ISIF,Information Society Innovation Fund (ISIF)
Integrated Systems for Invasive Species,ISIS,Integrated Systems for Invasive Species (ISIS)
Illawarra Shoalhaven Local Health District,ISLHD,Illawarra Shoalhaven Local Health District (ISLHD)
Industry Superannuation Network,ISN,Industry Superannuation Network (ISN)
International Society for New Institutional Economics,ISNIE,International Society for New Institutional Economics (ISNIE)
International Society of Offshore and Polar Engineers,ISOPE,International Society of Offshore and Polar Engineers (ISOPE)
Integrated School of Ocean Sciences,ISOS,Integrated School of Ocean Sciences (ISOS)
International Science Program,ISP,International Science Program (ISP)
International Society for the Prevention of Child Abuse and Neglect,ISPCAN,International Society for the Prevention of Child Abuse and Neglect (ISPCAN)
Institute Strategic Programme Grant,ISPG,Institute Strategic Programme Grant (ISPG)
International Society for Pharmacoeconomics and Outcomes Research,ISPOR,International Society for Pharmacoeconomics and Outcomes Research (ISPOR)
International Society of Quality of Life Studies,ISQOLS,International Society of Quality of Life Studies (ISQOLS)
International Ship Recycling Association,ISRA,International Ship Recycling Association (ISRA)
Independent Social Research Fund,ISRF,Independent Social Research Fund (ISRF)
International Social Science Council,ISSC,International Social Science Council (ISSC)
International Society for the Study of Drug Policy,ISSDP,International Society for the Study of Drug Policy (ISSDP)
International Seafood Sustainability Foundation,ISSF,International Seafood Sustainability Foundation (ISSF)
International Society for Science and Religion,ISSR,International Society for Science and Religion (ISSR)
Italian National Election Studies,ITANES,Italian National Election Studies (ITANES)
International Traineeships in AIDS Prevention Studies,ITAPS,International Traineeships in AIDS Prevention Studies (ITAPS)
IT Consilience Creative Program,ITCCP,IT Consilience Creative Program (ITCCP)
Israel Taxonomy Initiative,ITI,Israel Taxonomy Initiative (ITI)
Information Technology Industry Development Agency,ITIDA,Information Technology Industry Development Agency (ITIDA)
International Tanker Owners Pollution Federation Ltd,ITOPF,International Tanker Owners Pollution Federation Ltd (ITOPF)
International Tax Policy Forum,ITPF,International Tax Policy Forum (ITPF)
Information Technology Research Academy,ITRA,Information Technology Research Academy (ITRA)
Industrial Technology Research Institute,ITRI,Industrial Technology Research Institute (ITRI)
Image Understanding and Pattern Recognition Group,IUPR,Image Understanding and Pattern Recognition Group (IUPR)
Improving Undergraduate STEM Education,IUSE,Improving Undergraduate STEM Education (IUSE)
Indepth Investigation of Vehicle Accidents in Changsha,IVAC,Indepth Investigation of Vehicle Accidents in Changsha (IVAC)
International Visegrad Fund,IVF,International Visegrad Fund (IVF)
Innovation and Value Initiative,IVI,Innovation and Value Initiative (IVI)
International Workshop on Applied Economics of Education,IWAEE,International Workshop on Applied Economics of Education (IWAEE)
International Whaling Commission,IWC,International Whaling Commission (IWC)
International Wave Dynamics Research Center,IWDRC,International Wave Dynamics Research Center (IWDRC)
International Work Group for Indigenous Affairs,IWGIA,International Work Group for Indigenous Affairs (IWGIA)
Agency for Innovation by Science and Technology in Flanders,IWT,Agency for Innovation by Science and Technology (IWT)
Agency for Innovation by Science and Technology,IWT,Agency for Innovation by Science and Technology (IWT)
Flemish Institute for Innovation through Science and Technology,IWT,Agency for Innovation by Science and Technology (IWT)
Flemish government agency for Innovation by Science and Technology,IWT,Agency for Innovation by Science and Technology (IWT)
Flemish Agency of Innovation by Science and Technology,IWT,Agency for Innovation by Science and Technology (IWT)
 Innovation by Science and Technology,IWT,Agency for Innovation by Science and Technology (IWT)
 InstituutvoorInnovatie door WetenschapenTechnologie,IWT,Agency for Innovation by Science and Technology (IWT)
Institute for the Promotion of Innovation by Science and Technology in Flanders,IWT,Agency for Innovation by Science and Technology (IWT)
Flanders Institute for Science and Technology,IWT,Agency for Innovation by Science and Technology (IWT)
Program of the Flemish Agency for Innovation through Science and Technology,IWT,Agency for Innovation by Science and Technology (IWT)
Science and Technology in Flanders,IWT,Agency for Innovation by Science and Technology (IWT)
Japan Association for the Advancement of Medical Equipment,JAAME,Japan Association for the Advancement of Medical Equipment (JAAME)
Joint Accounting Bodies,JAB,Joint Accounting Bodies (JAB)
JapanASEAN Integration Fund,JAIF,JapanASEAN Integration Fund (JAIF)
Japan Advanced Institute of Science and Technology,JAIST,Japan Advanced Institute of Science and Technology (JAIST)
Japan Society of Naval Architects and Ocean Engineers,JASNAOE,Japan Society of Naval Architects and Ocean Engineers (JASNAOE)
Japan Student Services Organization,JASSO,Japan Student Services Organization (JASSO)
Joint Advanced Technology Programme,JATP,Joint Advanced Technology Programme (JATP)
Joe Brown Aquatic Research Building,JBARB,Joe Brown Aquatic Research Building (JBARB)
Joint Center for Advanced High Performance Computing,JCAHPC,Joint Center for Advanced High Performance Computing (JCAHPC)
Japan Center of Economic Research,JCER,Japan Center of Economic Research (JCER)
Joint Center for Energy Storage Research,JCESR,Joint Center for Energy Storage Research (JCESR)
Japan Coastal Guard,JCG,Japan Coastal Guard (JCG)
Jaeb Center for Health Research,JCHR,Jaeb Center for Health Research (JCHR)
Julich Centre for Neutron Science,JCNS,Julich Centre for Neutron Science (JCNS)
Japan Coastal Ocean Predictability Experiment,JCOPE,Japan Coastal Ocean Predictability Experiment (JCOPE)
Joint Center for Satellite Data Assimilation,JCSDA,Joint Center for Satellite Data Assimilation (JCSDA)
Joint Clinical Trials Office,JCTO,Joint Clinical Trials Office (JCTO)
Joint Donor Technical Assistance Fund,JDTAF,Joint Donor Technical Assistance Fund (JDTAF)
Japanese Economic Association,JEA,Japanese Economic Association (JEA)
Journal of Enterprise Information Management,JEIM,Journal of Enterprise Information Management (JEIM)
Joint European Research Infrastructure network for Coastal Observatories,JERICO,Joint European Research Infrastructure network for Coastal Observatories (JERICO)
Japan Fisheries,JF,Japan Fisheries (JF)
Japan Foundation for Neuroscience and Mental Health,JFNMH,Japan Foundation for Neuroscience and Mental Health (JFNMH)
JAMSTECIPRC Joint Investigations,JIJI,JAMSTECIPRC Joint Investigations (JIJI)
Joint Institute for the Study of the Atmosphere and Ocean,JISAO,Joint Institute for the Study of the Atmosphere and Ocean (JISAO)
Joint Information Systems Committee,JISC,Joint Information Systems Committee (JISC)
Joint Laboratory for System Evaluation,JLSE,Joint Laboratory for System Evaluation (JLSE)
Joint Nature Conservation Committee,JNCC,Joint Nature Conservation Committee (JNCC)
Joint Oceanographic Institutions,JOI,Joint Oceanographic Institutions (JOI)
Poverty Action Lab,JPAL,Poverty Action Lab (JPAL)
Jameel Poverty Action Lab,J-PAL,Jameel Poverty Action Lab (J-PAL)
Japan Platform,JPF,Japan Platform (JPF)
Netherlands Junior Professional Officer,JPO,Netherlands Junior Professional Officer (JPO)
Journal Publication Scheme,JPS,Journal Publication Scheme (JPS)
Joint Polar Satellite System,JPSS,Joint Polar Satellite System (JPSS)
2012 Janssen Research Council China,JRCC,2012 Janssen Research Council China (JRCC)
Japan Railway Construction Transport and Technology Agency,JRTT,Japan Railway Construction Transport and Technology Agency (JRTT)
Japan Social Development Fund,JSDF,Japan Social Development Fund (JSDF)
